P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Current;Impedence;Pieces_quoted;Prepared;Description;Manuf;Manuf Code;Supplier;Supplier Code
1;192;;5,00;J2 J3 J4 J5 J6;55560-0207;CO;55560-0207;0.5A;;;;PCB connector, Slimstack, 20 contacts, 2 rows, female, p.0.5 mm, Straight, b to b, nolock, nokey, SMD;Molex;55560-0207;RS COMPONENTS S.P.A.;468-1388;
2;288;;1,00;J7;53261-0471;CO;53261-0471;1A;;;;PCB connector, Picoblade, 4 contacts, 1 row, male, p.1.25mm, 90°, w to b, lock, key, SMD;Molex;53261-0471;RS COMPONENTS S.P.A.;542-7113;Molex;53261-0471;FARNELL ITALIA S.R.L.;1125374;
3;631;;1,00;J1;53261-0771;CO;53261-0771;1A;;;;PCB connector, Picoblade, 7 contacts, 1 row, male, 1.25mm,  90°, w to b, nolock, key, SMD;Molex;53261-0771;FARNELL ITALIA S.R.L.;1125361;
4;6126;;18,00;J4_SCK J4_GND J5_SCK J5_GND J6_SCK J6_GND J2_SDA1 J2_SDA2 J3_SDA1 J4_SDA1 J5_SDA1 J6_SDA1 J6_SDA2 J2_3V3 J3_3V3 J4_3V3 J5_3V3 J6_3V3;SOLDERPAD, PADLS;CO;;;;;;Solderable PCB pad, for wire to board connection;
5;6126;X;4,00;J2_SCK J2_GND J3_SCK J3_GND;SOLDERPAD, PADLS;CO;;;;;;Solderable PCB pad, for wire to board connection;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Ranges;Tolerance;Pieces_quoted;Prepared;Description;Manuf;Manuf Code;Supplier;Supplier Code
6;10136.1;X;1,00;PCB;;PCB;FTC_000;;;;MM;FTC_001 , IIT - Printed Circuit Board, Fingertip Connector;IIT;10136;EUROCIRCUITS bvba;FTC_001;
