P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Capacitance;Voltage;Tolerance;Dielectric;ESR;Rated RMS current;Temp;Description;Manuf;Manuf Code;Supplier;Supplier Code
1;11288;;1,00;C1;1206;C;4.7uF;50V;10%;X7R;;;;Multilayer Ceramic Capacitor, 4.7uF, 50V, 10%, X7R, SMD, 1206;AVX;12065C475KAT2A;FARNELL ITALIA S.R.L.;1908177;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Current;Impedence;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
2;10121;;1,00;J1;43650-0212;CO;43650-0212;5A;;;;;;PCB connector, Microfit, 2 contacts, 1 rows, male, p.3mm, 90°, w to b, lock, key, SMD;Molex;43650-0212;FARNELL ITALIA S.R.L.;2459191;
3;10121;;1,00;J2;43650-0212;CO;43650-0212;5A;;;;;;PCB connector, Microfit, 2 contacts, 1 rows, male, p.3mm, 90°, w to b, lock, key, SMD;Molex;43650-0212;FARNELL ITALIA S.R.L.;2459191;
4;11145;;1,00;J3;504050-0491;CO;504050-0491;3A;;;;;;PCB connector, Pico-Lock, 4 contacts, 1 row, male, p.1.5mm, 90°, w to b, lock, key, SMD;Molex;504050-0491;FARNELL ITALIA S.R.L.;2392592;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Power;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
5;11086;;1,00;U1;TEN30;DC;TEN 30-2412WIN;30W;1%;;;;;Insulated DC/DC Converter, 9/36Vdc, 12V, 30W, insulation 1.5KVdc, THD, DIP;Traco power;TEN 30-2412WIN;FARNELL ITALIA S.R.L.;1635233;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Intensity;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
6;259;;1,00;DL1;LED0603;DL;GREEN;15mcd;;;;;;Led diode, green, 2.6V, 20mA, 15mcd, SMD, 0603;Avago technologies;HSMG-C190;FARNELL ITALIA S.R.L.;8554609;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Ranges;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
7;11152.2;;1,00;;;PCB;PS_CPU2;;;0;LR;;;PS_CPU2, IIT - Printed circuit board, power supply for CPU, Vin 9/36Vcc, Vout12V@5A;IIT;11152;EUROCIRCUITS bvba;PS_CPU2;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Resistance;Power;Tolerance;Stability;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
8;245;;1,00;R1;0603;R;1K;0.1W;1%;100ppm;;;;Resistor Thick Film, 1K, 0.1W, 1%, SMD, 0603;Phycomp;232270461002;FARNELL ITALIA S.R.L.;9238484;Phycomp;232270461002;MOUSER ELECTRONICS;603-RC0603FR-071KL;Phycomp;RC0603FR-071KL;DIGI-KEY CORPORATION;311-1.00KHRTR-ND;Phycomp;RC0603FR-071KL;RS COMPONENTS S.P.A.;504-8928;
9;1418;X;1,00;R2;0603;R;100R;0.063W;1%;200ppm;;;;Resistor Thick film, 100R, 0.063W, 1%, SMD, 0603;Multicomp;MC 0.063W 0603 1% 100R;FARNELL ITALIA S.R.L.;9330364;
10;1418;X;1,00;R3;0603;R;100R;0.063W;1%;200ppm;;;;Resistor Thick film, 100R, 0.063W, 1%, SMD, 0603;Multicomp;MC 0.063W 0603 1% 100R;FARNELL ITALIA S.R.L.;9330364;
