P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Capacitance;Voltage;Tolerance;Dielectric;ESR;Rated RMS current;Temp;Description;Manuf;Manuf Code;Supplier;Supplier Code
50;545;;1,00;FL13;WE-SL1;FI;330uH@100KHz;+/-40%;300mA;80Vdc;;;;Common mode line filter, 330uH, 300mA, 80Vdc, SMD, 6.5x3.6mm;Wurth Elektronik;744212331;RS COMPONENTS S.P.A.;500-3199;
51;7010;;11,00;FL11 FL10 FL9 FL7 FL8 FL6 FL5 FL4 FL3 FL1 FL2;0402;FI;120R@100MHz;+/-25%;500mA;-;;AM;;Ferrite bead, 500mA, 120R@100MHz, SMD, 0402;Murata;BLM15AG121SN1D;FARNELL ITALIA S.R.L.;1515760;
52;10835;;1,00;FL12;BLA2A_1119_1;FI;600R @100MHz;+/-25%;100mA;-;;;;Ferrite beads array, 100mA, 600R @100MHz, SMD, 0804 (4x0402);Murata;BLA2ABD601SN4D;FARNELL ITALIA S.R.L.;1515796;Murata;BLA2ABD601SN4D;MOUSER ELECTRONICS;81-BLA2ABD601SN4D;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Inductance;Current;Tolerance;SRF;RMS;Prepared;;Description;Manuf;Manuf Code;Supplier;Supplier Code
53;1122;;2,00;L2 L1;4p8x4p8;L;33uH;820mA;10%;16MHz;;;;Inductance, 33uH, 820mA, 10%, SMD, 4.8X4.8x2.8mm;Wurth Elektronic;744043330;DIGI-KEY CORPORATION;732-1108-1-ND;Wurth Elektronic;744043330;RS COMPONENTS S.P.A.;744-4763;Bourns;SRR4028-330Y;DIGI-KEY CORPORATION;SRR4028-330YCT-ND;
54;6155;;2,00;L4 L3;XAL1010-153MED;L;15uH;13.8A;20%;;13.8A;AM;;Inductance, 15uH, 13.8A, 20%, SMD, 11.3x10mm;Coilcraft;XAL1010-153MED;FARNELL ITALIA S.R.L.;2289022RL;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Memory_dimension;Pieces_quoted;Prepared;;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
55;4125;;1,00;U1;TSSOP8;ME;AT24CM01-XHD-B;1Mbit;;;;;;EEPROM memory, 1Mbit, 1Mhz, 2.5/5.5V, SMD, TSSOP8;Atmel;AT24C1024B-TH25-B;DIGI-KEY CORPORATION;AT24C1024B-TH25-B-ND;Atmel;AT24C1024B-TH25-B;MOUSER ELECTRONICS;556-A24C1024BTH25-B;Atmel;AT24CM01-XHD-B;MOUSER ELECTRONICS;556-AT24CM01-XHD-B;Atmel;AT24CM01-XHD-B;DIGI-KEY CORPORATION;AT24CM01-XHD-TCT-ND;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Ranges;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
56;12359;;1,00;U8;LQFP100;MI;STM32L476VET6;32bit;;;;;;Microcontroller ARM Cortex-M4, 32Bits, 80MHz, 512kB FLASH, 128kB SRAM, 1.8/3.6V, SMD, LQFP-100;St microelectronics;STM32L476VET6;MOUSER ELECTRONICS;511-STM32L476VET6;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Ranges;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
57;10131.1;;1,00;;;PCB;BAT_0;;;;AM;;;BAT, IIT - Printed Circuit Board, iCub3 Power management board;IIT;10131;Neohm Componenti Srl;DH19-0013-A;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Load capacitance;Stability;Frequency;Pieces_quoted;Prepared;;Description;Manuf;Manuf Code;Supplier;Supplier Code
58;6243;;1,00;Y1;8Z;Q;8Z-16.000MAAJ-T;18pF;30ppm;16MHz;;;;Quartz, 16MHz, 30ppm, SMD, 2.5x2mm;TXC;8Z-16.000MAAJ-T;MOUSER ELECTRONICS;717-8Z-16.000MAAJ-T;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Resistance;Power;Tolerance;Stability;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
59;436;;4,00;R67 R68 R69 R70;0603;R;10R;0.1W;1%;200ppm;;;;Resistor Thick Film, 10R, 0.1W, 1%, SMD, 0603;Phycomp;RC0603FR-0710RL;DIGI-KEY CORPORATION;311-10.0HRTR-ND;Phycomp;RC0603FR-0710RL;FARNELL ITALIA S.R.L.;9238247;Phycomp;RC0603FR-0710RL;FARNELL ITALIA S.R.L.;9238247RL;
60;444;;5,00;R49 R50 R51 R52 R53;0603;R;100R;0.1W;1%;100ppm;;;;Resistor Thick film 100R, 0.1W, 1%, SMD, 0603;Phycomp;RC0603FR-07100RL;DIGI-KEY CORPORATION;311-100HRTR-ND;Phycomp;RC0603FR-07100RL;FARNELL ITALIA S.R.L.;9238360;Phycomp;RC0603FR-07100RL;RS COMPONENTS S.P.A.;504-8912;Phycomp;RC0603FR-07100RL;MOUSER ELECTRONICS;603-RC0603FR-07100RL;
61;445;;1,00;R48;0603;R;120R;0.1W;1%;100ppm;;;;Resistor Thick film, 120R, 0.1W, 1%, SMD, 0603;Phycomp;RC0603FR-07120RL;DIGI-KEY CORPORATION;311-120HRTR-ND;Phycomp;RC0603FR-07120RL;FARNELL ITALIA S.R.L.;9238379;
62;613;;2,00;R84 R85;0805;R;2K;0.1W;1%;100ppm;;;;Resistor Thick film, 2K, 0.1W, 1%, SMD, 0805;Multicomp;MC 0.1W 0805 1% 2K;FARNELL ITALIA S.R.L.;9332766;
63;751;;1,00;R54;0805;R;1K;0.1W;1%;100ppm;;;;Resistor Thick film, 1K, 0.1W, 1%, SMD, 0805;Multicomp;MC 0.1W 0805 1% 1K;FARNELL ITALIA S.R.L.;9332383;
64;1080;;9,00;R38 R39 R40 R41 R42 R36 R37 R35 R34;0402;R;0R;0.063W;1%;200ppm;;;;Resistor Thick film, 0R, 0.063W, 1%, SMD, 0402;Yageo;RC0402JR-070RL;FARNELL ITALIA S.R.L.;9232516;Yageo;RC0402JR-070RL;DIGI-KEY CORPORATION;311-0.0JRDKR-ND;
65;1085;;1,00;R86;0402;R;100R;0.063W;1%;100ppm;;;;Resistor Thick film, 100R, 0.063W, 1%, SMD, 0402;Vishay;CRCW0402100RFKED;FARNELL ITALIA S.R.L.;1469672RL;
66;1086;;1,00;R1;0402;R;120R;0.063W;1%;100ppm;;;;Resistor Thick film, 120R, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-07120RL;FARNELL ITALIA S.R.L.;9239120;Yageo;RC0402FR-07120RL;DIGI-KEY CORPORATION;311-120LRDKR-ND;
67;1087;;2,00;R31 R30;0402;R;220R;0.063W;1%;100ppm;;;;Resistor Thick film, 220R, 0.063W, 1%, SMD, 0402;Multicomp;MC 0.0625W 0402 1% 220R;FARNELL ITALIA S.R.L.;1358024RL;
68;1099;;7,00;R29 R28 R27 R26 R25 R24 R23;0402;R;470R;0.063W;1%;100ppm;;;;Resistor Thick film, 470R, 0.063W, 1%, SMD, 0402;Vishay;CRCW0402470RFKED;FARNELL ITALIA S.R.L.;1563599;Vishay;CRCW0402470RFKED;FARNELL ITALIA S.R.L.;2140742RL;
69;1100;;1,00;R58;0402;R;1K;0.063W;1%;250ppm;;;;Resistor Thick film, 1K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-071KL;FARNELL ITALIA S.R.L.;9239235;Vishay;CRCW04021K00FKED;FARNELL ITALIA S.R.L.;1469662RL;
70;1105;;1,00;R81;0402;R;2K2;0.063W;1%;250ppm;;;;Resistor Thick film, 2K2, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-072K2L;FARNELL ITALIA S.R.L.;9239278RL;
71;1107;;11,00;R12 R7 R6 R5 R4 R3 R2 R11 R10 R9 R8;0402;R;4K7;0.063W;1%;100ppm;;;;Resistor Thick film, 4K7, 0.063W, 1%, SMD, 0402;Vishay;CRCW04024K70FKED;FARNELL ITALIA S.R.L.;1469712RL;
72;1109;;10,00;R100 R22 R19 R20 R21 R18 R17 R16 R14 R13;0402;R;10K;0.063W;1%;250ppm;;;;Resistor Thick film, 10K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-0710KL;FARNELL ITALIA S.R.L.;9239359RL;
73;1111;;3,00;R75 R76 R77;0402;R;18K;0.063W;1%;25ppm;;;;Resistor Thick film, 18K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-0718KL;FARNELL ITALIA S.R.L.;9239383RL;
74;1112;;3,00;R61 R62 R63;0402;R;22K;0.063W;1%;250ppm;;;;Resistor Thick film, 22K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-0722KL;FARNELL ITALIA S.R.L.;9239391RL;
75;1114;;1,00;R78;0402;R;68K;0.063W;1%;250ppm;;;;Resistor Thick film, 68K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-0768K;FARNELL ITALIA S.R.L.;9239456RL;
76;1236;;5,00;R43 R44 R45 R46 R47;0402;R;330R;0.063W;1%;100ppm;;;;Resistor Thick film, 330R, 0.063W, 1%, SMD, 0402;Vishay;CRCW0402330RFKED;FARNELL ITALIA S.R.L.;1469709RL;
77;1273;;1,00;R79;0402;R;1K5;0.063W;1%;100ppm;;;;Resistor Thick film, 1K5, 0.063W, 1%, SMD, 0402;Vishay;CRCW04021K50FKED;FARNELL ITALIA S.R.L.;1653201RL;
78;1274;;3,00;R94 R95 R96;0402;R;47K;0.063W;1%;100ppm;;;;Resistor Thick film, 47K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-0747KL;FARNELL ITALIA S.R.L.;9239430;Yageo;RC0402FR-0747KL;FARNELL ITALIA S.R.L.;9239430RL;
79;1277;;1,00;R87;0402;R;470K;0.063W;1%;100ppm;;;;Resistor Thick film, 470K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-07470KL;FARNELL ITALIA S.R.L.;9239553;
80;1580;;1,00;R64;0402;R;6K8;0.063W;1%;250ppm;;;;Resistor Thick film, 6K8, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-076K8L;FARNELL ITALIA S.R.L.;9239332;
81;1581;;3,00;R55 R56 R57;0402;R;3K3;0.063W;1%;250ppm;;;;Resistor Thick film, 3K3, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-073K3L;FARNELL ITALIA S.R.L.;9239294;
