P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;VALUE;RANGE;TOLERANCE;Description;Manuf;Manuf Code;Supplier;Supplier Code
74;1087;;1,00;R26;0402;R;RES0402;0.063W;1%;Resistor Thick film, 220R, 0.063W, 1%, SMD, 0402;Multicomp;MC 0.0625W 0402 1% 220R;FARNELL ITALIA S.R.L.;1358024RL;
75;1087;;1,00;R27;0402;R;RES0402;0.063W;1%;Resistor Thick film, 220R, 0.063W, 1%, SMD, 0402;Multicomp;MC 0.0625W 0402 1% 220R;FARNELL ITALIA S.R.L.;1358024RL;
76;1087;;1,00;R30;0402;R;RES0402;0.063W;1%;Resistor Thick film, 220R, 0.063W, 1%, SMD, 0402;Multicomp;MC 0.0625W 0402 1% 220R;FARNELL ITALIA S.R.L.;1358024RL;
77;1087;;1,00;R31;0402;R;RES0402;0.063W;1%;Resistor Thick film, 220R, 0.063W, 1%, SMD, 0402;Multicomp;MC 0.0625W 0402 1% 220R;FARNELL ITALIA S.R.L.;1358024RL;
78;1087;;1,00;R32;0402;R;RES0402;0.063W;1%;Resistor Thick film, 220R, 0.063W, 1%, SMD, 0402;Multicomp;MC 0.0625W 0402 1% 220R;FARNELL ITALIA S.R.L.;1358024RL;
79;1087;;1,00;R33;0402;R;RES0402;0.063W;1%;Resistor Thick film, 220R, 0.063W, 1%, SMD, 0402;Multicomp;MC 0.0625W 0402 1% 220R;FARNELL ITALIA S.R.L.;1358024RL;
80;1106;;1,00;R18;0402;R;RES0402;0.063W;1%;Resistor Thick film, 3K01, 0.063W, 1%, SMD, 0402;Vishay;CRCW04023K01FKED;FARNELL ITALIA S.R.L.;1151124;
81;1107;;1,00;R8;0402;R;RES0402;0.063W;1%;Resistor Thick film, 4K7, 0.063W, 1%, SMD, 0402;Vishay;CRCW04024K70FKED;FARNELL ITALIA S.R.L.;1469712RL;
82;1107;;1,00;R11;0402;R;RES0402;0.063W;1%;Resistor Thick film, 4K7, 0.063W, 1%, SMD, 0402;Vishay;CRCW04024K70FKED;FARNELL ITALIA S.R.L.;1469712RL;
83;1107;;1,00;R20;0402;R;RES0402;0.063W;1%;Resistor Thick film, 4K7, 0.063W, 1%, SMD, 0402;Vishay;CRCW04024K70FKED;FARNELL ITALIA S.R.L.;1469712RL;
