P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Supply_voltage;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
1;579;;1,00;U18;SOT23-5;AO;LMC7101-BIM5;2.7/15V;;;;;;Operational Amplifier, single, 2.7/15V supply voltage, rail to rail output swing, SMD, SOT23-5;National Semiconductor;LMC7101-BIM5;FARNELL ITALIA S.R.L.;1212200;National Semiconductor;LMC7101-BIM5;DIGI-KEY CORPORATION;LMC7101BIM5NSTR-ND;National Semiconductor;LMC7101-BIM5;FARNELL ITALIA S.R.L.;3117162;
2;710;;2,00;U19 U20;SOT23-5;AO;LMV7219M5;2.7/5V;;;;;;Comparator, 2.7/5V supply voltage, 7ns delay, rail to rail output, push-pull, SMD, SOT23-5;National Semiconductor;LMV7219M5;FARNELL ITALIA S.R.L.;977-8764;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Capacitance;Voltage;Tolerance;Dielectric;ESR;Rated RMS current;Temp;Description;Manuf;Manuf Code;Supplier;Supplier Code
3;3;;6,00;C4 C5 C6 C12 C13 C14;0603;C;100nF;50V;10%;X7R;;;;Multilayer Ceramic Capacitor, 100nF, 50V, 10%, X7R, SMD, 0603;Kemet;C0603C104K5RAC7867;SILVERSTAR S.R.L.;KETC0603C104K5RAC7867;Kemet;C0603C104K5RACTU;DIGI-KEY CORPORATION;399-5089-2-ND;Kemet;C0603C104K5RACTU;FARNELL ITALIA S.R.L.;1288255;Murata;GRM188R71H104KA93D;RS COMPONENTS S.P.A.;624-2480;
4;253;;1,00;C21;0805;C;10uF;16V;10%;X5R;;;;Multilayer Ceramic Capacitor, 10uF, 16V, 10%, X5R, SMD, 0805;Kemet;C0805C106K4PAC;FARNELL ITALIA S.R.L.;1288204;Kemet;C0805C106K4PAC;RS COMPONENTS S.P.A.;691-1161;Kemet;C0805C106K4PAC;MOUSER ELECTRONICS;80-C0805C106K4P;
5;479;;4,00;C36 C37 C86 C87;0603;C;10uF;6.3V;20%;X5R;;;;Multilayer Ceramic Capacitor, 10uF, 6.3V, 20%, X5R, SMD, 0603;Avx;06036D106MAT2A;DIGI-KEY CORPORATION;478-5318-1-ND;Avx;06036D106MAT2A;FARNELL ITALIA S.R.L.;1833804;Avx;06036D106MAT2A;MOUSER ELECTRONICS;581-06036D106MAT2A;TDK;C1608X5R0J106MT;RS COMPONENTS S.P.A.;741-4434;
6;484;;2,00;C38 C43;0805;C;47uF;6.3V;20%;X5R;;;;Multilayer Ceramic Capacitor, 47uF, 6.3V, 20%, X5R, SMD, 0805;Taiyo Yuden;JMK212BJ476MG-T;DIGI-KEY CORPORATION;587-1779-6-ND;Kemet;C0805C476M9PACTU;FARNELL ITALIA S.R.L.;1572633RL;Kemet;C0805C476M9PACTU;MOUSER ELECTRONICS;80-C0805C476M9P;Kemet;C0805C476M9PACTU;RS COMPONENTS S.P.A.;691-1183;Johanson dielectric;6R3R15X476MV4E;FARNELL ITALIA S.R.L.;1886100;Johanson dielectric;6R3R15X476MV4E;MOUSER ELECTRONICS;605-6R3R15X476MV4E;
7;1035;;24,00;C7 C8 C15 C16 C20 C24 C25 C30 C31 C32 C33 C39 C40 C42 C44 C45 C48 C49 C50 C61 C62 C73 C74 C83;0402;C;100nF;16V;10%;X7R;;;;Multilayer Ceramic Capacitor, 100nF, 16V, 10%, X7R, SMD, 0402;Yageo;C0402KRX7R7BB104;FARNELL ITALIA S.R.L.;9402047;Yageo;C0402KRX7R7BB104;RS COMPONENTS S.P.A.;616-9701;Kemet;C0402C104K4RAC-TU;FARNELL ITALIA S.R.L.;1288252;Kemet;C0402C104K4RAC-TU;MOUSER ELECTRONICS;80-C0402C104K4R;
8;1075;;1,00;C22;0402;C;10nF;50V;10%;X7R;;;;Multilayer Ceramic Capacitor, 10nF, 50V, 10%, X7R, SMD, 0402;Kemet;C0402C103K5RACTU;FARNELL ITALIA S.R.L.;1650808;Kemet;C0402C103K5RACTU;FARNELL ITALIA S.R.L.;1414575RL;Kemet;C0402C103K5RACTU;MOUSER ELECTRONICS;80-C0402C103K5R;Kemet;C0402C103K5RAC7867;RS COMPONENTS S.P.A.;147-752;
9;1271;;2,00;C77 C78;0402;C;10pF;50V;5%;X7R;;;;Multilayer Ceramic Capacitor, 10pF, 50V, 5%, X7R, SMD, 0402;Kemet;04025A100DAT2A;FARNELL ITALIA S.R.L.;1327626;Kemet;04025A100DAT2A;RS COMPONENTS S.P.A.;698-3065;Kemet;04025A100DAT2A;MOUSER ELECTRONICS;581-04025A100DAT2A;
10;1489;;7,00;C23 C35 C52 C63 C72 C75 C76;0805;C;47uF;4V;20%;X5R;;;;OBSOLETE - Multilayer Ceramic Capacitor, 47uF, 4V, 20%, X5R, SMD, 0805;Murata;GRM21BR60G476ME15L;FARNELL ITALIA S.R.L.;1845737;Murata;GRM21BR60G476ME15L;RS COMPONENTS S.P.A.;723-6013;Murata;GRM21BR60G476ME15L;MOUSER ELECTRONICS;81-GRM21BR60G476ME5L;
11;1620;;5,00;C18 C19 C47 C84 C85;1210;C;2.2uF;100V;10%;X7R;;;;Multilayer Ceramic Capacitor, 2.2uF, 100V, 10%, X7R, SMD, 1210;Kemet;C1210C225K1RACTU;FARNELL ITALIA S.R.L.;1793832;Kemet;C1210C225K1RACTU;MOUSER ELECTRONICS;80-C1210C225K1R;Avx;12101C225KAT2A;RS COMPONENTS S.P.A.;698-3765;
12;1681;;2,00;C55 C70;0402;C;100nF;25V;10%;Y5V;;;;Multilayer Ceramic Capacitor, 100nF, 25V, 10%, Y5V, SMD, 0402;Murata;GRM155F51E104ZA01D;DIGI-KEY CORPORATION;490-3271-6-ND;Murata;GRM155F51E104ZA01D;MOUSER ELECTRONICS;81-GRM155F51E104ZA01;Murata;GRM155F51E104ZA01D;RS COMPONENTS S.P.A.;723-5174;TDK;C1005Y5V1E104Z;FARNELL ITALIA S.R.L.;1907264;
13;1683;;10,00;C53 C54 C56 C59 C60 C66 C67 C68 C69 C71;0402;C;220pF;50V;10%;X7R;;;;Multilayer Ceramic Capacitor, 220pF, 50V, 10%, X7R, SMD, 0402;TDK;C1005X7R1H221K;DIGI-KEY CORPORATION;445-1254-6-ND;TDK;C1005X7R1H221K;RS COMPONENTS S.P.A.;111-056;TDK;C1005X7R1H221K;FARNELL ITALIA S.R.L.;1844138;TDK;C1005X7R1H221K;MOUSER ELECTRONICS;810-C1005X7R1H221K;
14;3087;;2,00;C41 C46;0402;C;4.7uF;4V;20%;X5R;;;;Multilayer Ceramic Capacitor, 4.7uF, 4V, 20%, X5R, SMD, 0402;Murata;GRM155R60G475ME;FARNELL ITALIA S.R.L.;1735525;
15;10001;;6,00;C1 C2 C3 C9 C10 C11;0402;C;1uF;16V;10%;X5R;;;;Multilayer Ceramic Capacitor, 1uF, 16V, 10%, X5R, SMD, 0402;TDK;C1005X5R1C105K050BC;FARNELL ITALIA S.R.L.;2112701;Murata;GRM155R61C105KE01D;FARNELL ITALIA S.R.L.;2611905;Kyocera;CM05X5R105K16AH;DIGI-KEY Germany;1253-CM05X5R105K16AHCT-ND;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Current;Impedence;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
16;274;;1,00;M1;MKDS12-381;CO;MKDS 1/2-3.81;12A;;;;;;Terminal block, MKDS, 2 contacts, 1 row, female, p.3.81mm, Straight, w to b, 12A, screw terminal, THD;Phoenix;1727010;RS COMPONENTS S.P.A.;101-5384;Phoenix;1727010;FARNELL ITALIA S.R.L.;3704579;
17;275;;2,00;M2 M3;MKDS13-381;CO;MKDS 1/3-3.81;12A;;;;;;Terminal block, MKDS, 3 contacts, 1 row, female, p.3.81mm, Straight, w to b, 12A, screw terminal, THD;Phoenix;1727023;RS COMPONENTS S.P.A.;101-5390;Phoenix;1727023;FARNELL ITALIA S.R.L.;3704580;
18;631;;4,00;P1 P2 P5 P6;53261-0771;CO;53261-0771;1A;;;;;;PCB connector, Picoblade, 7 contacts, 1 row, male, 1.25mm,  90°, w to b, nolock, key, SMD;Molex;53261-0771;FARNELL ITALIA S.R.L.;1125361;Amphenol;10114830-10107LF;MOUSER ELECTRONICS;649-10114830-10107LF;
19;1124;;2,00;P3 P4;53261-0671;CO;53261-0671;1A;;;;;;PCB connector, Picoblade, 6 contacts, 1 row, male, p.1.25mm,  90°, w to b, nolock, key, SMD;Molex;53261-0671;FARNELL ITALIA S.R.L.;1125375;Molex;53261-0671;RS COMPONENTS S.P.A.;542-7135;Amphenol;10114830-10106LF;MOUSER ELECTRONICS;649-10114830-10106LF;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Ranges;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
20;7028.0;;1,00;;;CU;;;;0;MM;;;Subassembly - Heathsink for 2FOC board with FINS, black anodized;IIT;7028;IIT   FACILITY MECCANICA;7028;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Current;Pieces_quoted;Prepared;;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
21;565;;3,00;D3 D4 D5;SOD123;DI;SS19L;1A;;;;;;Diode Schottky, Vrrm: 90V, If: 1A, Ifms: 30A, SMD, SOD123;Taiwan semiconductors;SS19L;FARNELL ITALIA S.R.L.;1559161;Taiwan semiconductors;SS19L;RS COMPONENTS S.P.A.;743-6015;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Intensity;Led_color;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
22;1653;;2,00;DL7 DL9;LED0603;DL;SML-511DWT86R;40mcd;Orange;;;;;Led diode, orange, 2V, 20mA, 40mcd, SMD, 0603;Rohm;SML-511DWT86R;FARNELL ITALIA S.R.L.;1685072;
23;1654;;2,00;DL6 DL8;LED0603;DL;SML-512MWT86R;40mcd;Green;;;;;Led diode, green, 2V, 20mA, 40mcd, SMD, 0603;Rohm;SML-512MWT86R;FARNELL ITALIA S.R.L.;1685076;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Supply_voltage;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
24;241;;2,00;U4 U5;SOT23-8;DR;MAX3051;3.3V;;;;;;CAN Transceiver, 3.3V, SMD, SOT23-8;Maxim;MAX3051EKA;DIGI-KEY CORPORATION;MAX3051EKA+T-ND;Maxim;MAX3051EKA;RS COMPONENTS S.P.A.;732-8992;Maxim;MAX3051EKA;MOUSER ELECTRONICS;700-MAX3051EKAT;
25;1583;;6,00;U1 U2 U3 U6 U7 U8;LLP10;DR;LM5101ASD;3A;;;;;;Gate driver, 3A, SMD, LLP10;National Semiconductor;LM5101ASD;FARNELL ITALIA S.R.L.;1008267;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Ranges;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
26;225;;1,00;;;ET;THT-46-423-10;19.05x6.35;;;;;;Label for BP-PR300-Plus, White Polyester: B-423, 19.05x6.35mm;Brady;THT-46-423-10;AGENCAVI S.R.L;THT-46-423-10;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Tolerance;Current;Voltage;Pieces_quoted;Prepared;;Description;Manuf;Manuf Code;Supplier;Supplier Code
27;545;;2,00;FL1 FL2;WE-SL1;FI;330uH@100KHz;+/-40%;300mA;80Vdc;;;;Common mode line filter, 330uH, 300mA, 80Vdc, SMD, 6.5x3.6mm;Wurth Elektronik;744212331;RS COMPONENTS S.P.A.;500-3199;
28;1118;;7,00;FB2 FB3 FB4 FB5 FB6 FB7 FL3;0402;FI;600R @100MHz;+/-25%;300mA;-;;;;Ferrite bead, 300mA, 600R @100MHz, SMD, 0402;Murata;BLM15AG601SN1D;FARNELL ITALIA S.R.L.;1515762;
29;1538;;6,00;R58 R60 R100 R102 R104 R106;0603;FI;120R @100MHz;+/-25%;200mA;;;;;Ferrite bead, 200mA, 120R @100MHz, SMD, 0603;Murata;BLM18TG121TN1D;FARNELL ITALIA S.R.L.;1115048;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Inductance;Current;Tolerance;SRF;RMS;Prepared;;Description;Manuf;Manuf Code;Supplier;Supplier Code
30;1122;;1,00;L1;4p8x4p8;L;33uH;820mA;10%;16MHz;;;;Inductance, 33uH, 820mA, 10%, SMD, 4.8X4.8x2.8mm;Wurth Elektronic;744043330;DIGI-KEY CORPORATION;732-1108-1-ND;Wurth Elektronic;744043330;RS COMPONENTS S.P.A.;744-4763;Bourns;SRR4028-330Y;DIGI-KEY CORPORATION;SRR4028-330YCT-ND;
31;1621;;1,00;L3;VLF4012A;L;22uH;510mA;20%;100kHz;;;;Inductance, 22uH, 510mA, 20%, SMD, 3.7x3.5x1.2mm;TDK;VLF4012AT-220MR51;FARNELL ITALIA S.R.L.;1301683;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Ranges;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
