P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Pieces_quoted;Prepared;;;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
1;432;;0,10;;;ADH;LOCTITE 315;;L.R.;;;;;Output kit, bicomponent thermally conductive adhesive (-55/+150°C), modified methacrylate, syringe 25ml;Loctite;315;FARNELL ITALIA S.R.L.;537020;Loctite;315;RS COMPONENTS S.P.A.;495-228;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Supply_voltage;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
2;579;;1,00;U18;SOT23-5;AO;LMC7101-BIM5;2.7/15V;;;;;;Operational Amplifier, single, 2.7/15V supply voltage, rail to rail output swing, SMD, SOT23-5;National Semiconductor;LMC7101-BIM5;FARNELL ITALIA S.R.L.;1212200;National Semiconductor;LMC7101-BIM5;DIGI-KEY CORPORATION;LMC7101BIM5NSTR-ND;National Semiconductor;LMC7101-BIM5;FARNELL ITALIA S.R.L.;3117162;
3;710;;2,00;U20 U19;SOT23-5;AO;LMV7219M5;2.7/5V;;;;;;Comparator, 2.7/5V supply voltage, 7ns delay, rail to rail output, push-pull, SMD, SOT23-5;National Semiconductor;LMV7219M5;FARNELL ITALIA S.R.L.;977-8764;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Capacitance;Voltage;Tolerance;Dielectric;ESR;Rated RMS current;Temp;Description;Manuf;Manuf Code;Supplier;Supplier Code
4;3;;6,00;C14 C13 C12 C6 C5 C4;0603;C;100nF;50V;10%;X7R;;;;Multilayer Ceramic Capacitor, 100nF, 50V, 10%, X7R, SMD, 0603;Kemet;C0603C104K5RAC7867;SILVERSTAR S.R.L.;KETC0603C104K5RAC7867;Kemet;C0603C104K5RACTU;DIGI-KEY CORPORATION;399-5089-2-ND;Kemet;C0603C104K5RACTU;FARNELL ITALIA S.R.L.;1288255;Murata;GRM188R71H104KA93D;RS COMPONENTS S.P.A.;624-2480;
5;253;;1,00;C21;0805;C;10uF;16V;10%;X5R;;;;Multilayer Ceramic Capacitor, 10uF, 16V, 10%, X5R, SMD, 0805;Kemet;C0805C106K4PAC;FARNELL ITALIA S.R.L.;1288204;Kemet;C0805C106K4PAC;RS COMPONENTS S.P.A.;691-1161;Kemet;C0805C106K4PAC;MOUSER ELECTRONICS;80-C0805C106K4P;
6;479;;4,00;C87 C86 C37 C36;0603;C;10uF;6.3V;20%;X5R;;;;Multilayer Ceramic Capacitor, 10uF, 6.3V, 20%, X5R, SMD, 0603;Avx;06036D106MAT2A;DIGI-KEY CORPORATION;478-5318-1-ND;Avx;06036D106MAT2A;FARNELL ITALIA S.R.L.;1833804;Avx;06036D106MAT2A;MOUSER ELECTRONICS;581-06036D106MAT2A;TDK;C1608X5R0J106MT;RS COMPONENTS S.P.A.;741-4434;
7;484;;2,00;C43 C38;0805;C;47uF;6.3V;20%;X5R;;;;Multilayer Ceramic Capacitor, 47uF, 6.3V, 20%, X5R, SMD, 0805;Taiyo Yuden;JMK212BJ476MG-T;DIGI-KEY CORPORATION;587-1779-6-ND;Kemet;C0805C476M9PACTU;FARNELL ITALIA S.R.L.;1572633RL;Kemet;C0805C476M9PACTU;MOUSER ELECTRONICS;80-C0805C476M9P;Kemet;C0805C476M9PACTU;RS COMPONENTS S.P.A.;691-1183;Johanson dielectric;6R3R15X476MV4E;FARNELL ITALIA S.R.L.;1886100;Johanson dielectric;6R3R15X476MV4E;MOUSER ELECTRONICS;605-6R3R15X476MV4E;
8;1035;;24,00;C83 C74 C73 C62 C61 C50 C49 C48 C45 C44 C42 C40 C39 C33 C32 C31 C30 C25 C24 C20 C16 C15 C8 C7;0402;C;100nF;16V;10%;X7R;;;;Multilayer Ceramic Capacitor, 100nF, 16V, 10%, X7R, SMD, 0402;Yageo;C0402KRX7R7BB104;FARNELL ITALIA S.R.L.;9402047;Yageo;C0402KRX7R7BB104;RS COMPONENTS S.P.A.;616-9701;Kemet;C0402C104K4RAC-TU;FARNELL ITALIA S.R.L.;1288252;Kemet;C0402C104K4RAC-TU;MOUSER ELECTRONICS;80-C0402C104K4R;
9;1075;;1,00;C22;0402;C;10nF;50V;10%;X7R;;;;Multilayer Ceramic Capacitor, 10nF, 50V, 10%, X7R, SMD, 0402;Kemet;C0402C103K5RACTU;FARNELL ITALIA S.R.L.;1650808;Kemet;C0402C103K5RACTU;FARNELL ITALIA S.R.L.;1414575RL;Kemet;C0402C103K5RACTU;MOUSER ELECTRONICS;80-C0402C103K5R;Kemet;C0402C103K5RAC7867;RS COMPONENTS S.P.A.;147-752;
10;1271;;2,00;C78 C77;0402;C;10pF;50V;5%;X7R;;;;Multilayer Ceramic Capacitor, 10pF, 50V, 5%, X7R, SMD, 0402;Kemet;04025A100DAT2A;FARNELL ITALIA S.R.L.;1327626;Kemet;04025A100DAT2A;RS COMPONENTS S.P.A.;698-3065;Kemet;04025A100DAT2A;MOUSER ELECTRONICS;581-04025A100DAT2A;
11;1489;;7,00;C76 C75 C72 C63 C52 C35 C23;0805;C;47uF;4V;20%;X5R;;;;OBSOLETE - Multilayer Ceramic Capacitor, 47uF, 4V, 20%, X5R, SMD, 0805;Murata;GRM21BR60G476ME15L;FARNELL ITALIA S.R.L.;1845737;Murata;GRM21BR60G476ME15L;RS COMPONENTS S.P.A.;723-6013;Murata;GRM21BR60G476ME15L;MOUSER ELECTRONICS;81-GRM21BR60G476ME5L;
12;1620;;5,00;C85 C84 C47 C19 C18;1210;C;2.2uF;100V;10%;X7R;;;;Multilayer Ceramic Capacitor, 2.2uF, 100V, 10%, X7R, SMD, 1210;Kemet;C1210C225K1RACTU;FARNELL ITALIA S.R.L.;1793832;Kemet;C1210C225K1RACTU;MOUSER ELECTRONICS;80-C1210C225K1R;Avx;12101C225KAT2A;RS COMPONENTS S.P.A.;698-3765;
13;1681;;2,00;C70 C55;0402;C;100nF;25V;10%;Y5V;;;;Multilayer Ceramic Capacitor, 100nF, 25V, 10%, Y5V, SMD, 0402;Murata;GRM155F51E104ZA01D;DIGI-KEY CORPORATION;490-3271-6-ND;Murata;GRM155F51E104ZA01D;MOUSER ELECTRONICS;81-GRM155F51E104ZA01;Murata;GRM155F51E104ZA01D;RS COMPONENTS S.P.A.;723-5174;TDK;C1005Y5V1E104Z;FARNELL ITALIA S.R.L.;1907264;
14;1683;;10,00;C71 C69 C68 C67 C66 C60 C59 C56 C54 C53;0402;C;220pF;50V;10%;X7R;;;;Multilayer Ceramic Capacitor, 220pF, 50V, 10%, X7R, SMD, 0402;TDK;C1005X7R1H221K;DIGI-KEY CORPORATION;445-1254-6-ND;TDK;C1005X7R1H221K;RS COMPONENTS S.P.A.;111-056;TDK;C1005X7R1H221K;FARNELL ITALIA S.R.L.;1844138;TDK;C1005X7R1H221K;MOUSER ELECTRONICS;810-C1005X7R1H221K;
