P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Capacitance;Voltage;Tolerance;Dielectric;ESR;Rated RMS current;Temp;Description;Manuf;Manuf Code;Supplier;Supplier Code
1;156;;1,00;C9;0603;C;1nF;50V;5%;C0G;;;;Multilayer Ceramic Capacitor, 1nF, 50V, 5%, C0G, SMD, 0603;Kemet;C0603C102J5GAC-TU;FARNELL ITALIA S.R.L.;1650827;Kemet;C0603C102J5GAC-TU;MOUSER ELECTRONICS;80-C0603C102J5G;Kemet;C0603C102J5GAC-TU;DIGI-KEY CORPORATION;399-3293-1-ND;Kemet;C0603C102J5GAC-TU;FARNELL ITALIA S.R.L.;317202;Murata;GRM1885C1H102JA01D;RS COMPONENTS S.P.A.;624-2418;
2;665;;3,00;C27 C25 C20;0603;C;22nF;50V;5%;X7R;;;;Multilayer Ceramic Capacitor, 22nF, 50V, 5%, X7R, SMD, 0603;Avx;06035C223JAT2A;DIGI-KEY CORPORATION;478-3722-2-ND;Avx;06035C223JAT2A;FARNELL ITALIA S.R.L.;1835412;Avx;06035C223JAT2A;MOUSER ELECTRONICS;581-06035C223JAT2A;
3;1035;;12,00;C31 C30 C19 C16 C14 C11 C10 C8 C1 C4 C3 C2;0402;C;100nF;16V;10%;X7R;;;;Multilayer Ceramic Capacitor, 100nF, 16V, 10%, X7R, SMD, 0402;Yageo;C0402KRX7R7BB104;FARNELL ITALIA S.R.L.;9402047;Yageo;C0402KRX7R7BB104;RS COMPONENTS S.P.A.;616-9701;Kemet;C0402C104K4RAC-TU;FARNELL ITALIA S.R.L.;1650809;Kemet;C0402C104K4RAC-TU;MOUSER ELECTRONICS;80-C0402C104K4R;
4;1041;;2,00;C28 C24;0603;C;470nF;16V;10%;X7R;;;;Multilayer Ceramic Capacitor, 470nF, 16V, 10%, X7R, SMD, 0603;Kemet;C0603C474K4RACTU;FARNELL ITALIA S.R.L.;1414644;Kemet;C0603C474K4RACTU;FARNELL ITALIA S.R.L.;1414644RL;Kemet;C0603C474K4RACTU;MOUSER ELECTRONICS;80-C0603C474K4R;Murata;GRM188R71C474KA88D;RS COMPONENTS S.P.A.;723-5626;
5;1078;;2,00;C22 C21;1210;C;1uF;100V;10%;X7R;;;;Multilayer Ceramic Capacitor, 1uF, 100V, 10%, X7R, SMD, 1210;Avx;12101C105KAT2A;FARNELL ITALIA S.R.L.;1301814;Avx;12101C105KAT2A;RS COMPONENTS S.P.A.;698-3740;Avx;12101C105KAT2A;MOUSER ELECTRONICS;581-12101C105KAT2A;
6;1079;;1,00;C23;1210;C;100uF;6.3V;20%;X5R;;;;Multilayer Ceramic Capacitor, 100uF, 6.3V, 10%, X5R, SMD, 1210;Kemet;C1210C107M9PAC7800;FARNELL ITALIA S.R.L.;1108328;Kemet;C1210C107M9PAC7800;RS COMPONENTS S.P.A.;691-1243;Kemet;C1210C107M9PAC7800;MOUSER ELECTRONICS;80-C1210C107M9P;
7;1324;;1,00;C7;0402;C;1uF;10V;10%;X5R;;;;OBSOLETE - Multilayer Ceramic Capacitor, 1uF, 10V, 10%, X5R, SMD, 0402;Phycomp;CC0402KRX5R6BB105;FARNELL ITALIA S.R.L.;1458896;Phycomp;CC0402KRX5R6BB105;MOUSER ELECTRONICS;603-CC402KRX5R6BB105;TDK;C1005X5R1A105KT;RS COMPONENTS S.P.A.;741-4396;
8;1348;;1,00;C6;0402;C;10nF;25V;10%;X7R;;;;Multilayer Ceramic Capacitor, 10nF, 25V, 10%, X7R, SMD, 0402;Kemet;C0402C103K3RAC7867;RS COMPONENTS S.P.A.;147-049;Kemet;C0402C103K3RAC7867;FARNELL ITALIA S.R.L.;1650806RL;Kemet;C0402C103K3RAC7867;MOUSER ELECTRONICS;80-C0402C103K3R;
9;1421;;1,00;C5;0805;C;4.7uF;6.3V;10%;X5R;;;;Multilayer Ceramic Capacitor, 4.7uF, 6.3V, 10%, X5R, SMD, 0805;Murata;GRM219R60J475KE19D;FARNELL ITALIA S.R.L.;9522999;Murata;GRM219R60J475KE19D;RS COMPONENTS S.P.A.;624-2705;Murata;GRM219R60J475KE19D;MOUSER ELECTRONICS;81-GRM219R60J475KE9D;
10;1684;;1,00;C26;0402;C;330pF;50V;10%;X7R;;;;Multilayer Ceramic Capacitor, 330pF, 50V, 10%, X7R, SMD, 0402;TDK;C1005X7R1H331K;DIGI-KEY CORPORATION;445-4910-6-ND;TDK;C1005X7R1H331K;RS COMPONENTS S.P.A.;111-062;TDK;C1005X7R1H331K;FARNELL ITALIA S.R.L.;1844140;TDK;C1005X7R1H331K;MOUSER ELECTRONICS;810-C1005X7R1H331K;
11;6154;;1,00;C29;CAPPOL1210;C;33uF;16V;10%;Tantalum;0.35ohm;;125C;Tantalum Capacitor, 33uF, 16V, 10%, SMD, 1210;AVX;TPSB336K016R0350;FARNELL ITALIA S.R.L.;1658966;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Current;Impedence;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
12;288;;2,00;P6 P1;53261-0471;CO;53261-0471;1A;;;;;;PCB connector, Picoblade, 4 contacts, 1 row, male, p.1.25mm, 90°, w to b, lock, key, SMD;Molex;53261-0471;RS COMPONENTS S.P.A.;542-7113;Molex;53261-0471;FARNELL ITALIA S.R.L.;1125374;
13;504;;1,00;TP2;TP-1206;CO;S1751-46;;;;;;;Test point, SMD, 1206;Harwin;S1751-46;FARNELL ITALIA S.R.L.;1022338;
14;630;;1,00;P5;53261-0571;CO;53261-0571;1A;;;;;;PCB connector, Picoblade, 5 contacts, 1 row, male, 1.25mm,  90°, w to b, nolock, key, SMD;Molex;53261-0571;FARNELL ITALIA S.R.L.;1125360;Molex;53261-0571;RS COMPONENTS S.P.A.;542-7270;
15;631;;1,00;P11;53261-0771;CO;53261-0771;1A;;;;;;PCB connector, Picoblade, 7 contacts, 1 row, male, 1.25mm,  90°, w to b, nolock, key, SMD;Molex;53261-0771;FARNELL ITALIA S.R.L.;1125361;
16;1124;;3,00;P8 P7 P2;53261-0671;CO;53261-0671;1A;;;;;;PCB connector, Picoblade, 6 contacts, 1 row, male, p.1.25mm,  90°, w to b, nolock, key, SMD;Molex;53261-0671;FARNELL ITALIA S.R.L.;1125375;
17;1295;;1,00;J1;PSTRIP10X2_M_SMD;CO;FTSH-105-01-L-DV;1.75A;;;;;;PCB connector, Pin strip, 10 contacts, 2 rows, male, p.1.27mm, Straight, b to b, nolock, nokey, SMD;Samtec;FTSH-105-01-L-DV;FARNELL ITALIA S.R.L.;1667759;
18;1394;;1,00;P4;53398-1071;CO;53398-1071;1A;;;;;;PCB connector, Picoblade, 10 contacts, 1 row, male, p.1.25mm, Straight, w to b, nolock, key, SMD;Molex;53398-1071;RS COMPONENTS S.P.A.;656-3046;Molex;53398-1071;FARNELL ITALIA S.R.L.;2426368;
19;2980;;2,00;P10 P9;53261-0271;CO;53261-0271;1A;;;;;;PCB connector, Picoblade, 2 contacts, 1 row, male, p.1.25mm, 90°, w to b, lock, key, SMD;Molex;53261-0271;FARNELL ITALIA S.R.L.;1125373;
20;3581;;3,00;TP4 TP3 TP1;SMOXM;CO;SMOX/060/B1 GOLD;3A;;;;;;Test point SMOX, male, SMD, 1.5x1.5mm H=2mm;Oxley;SMOX/060/B1 GOLD;FARNELL ITALIA S.R.L.;1573280;
21;4500;;1,00;J3;MPT052-254;CO;MPT0.5/2-2.54;6A;;;;;;Terminal block, MPT, 2 contacts, 1 row, female, p.2.54mm, Straight, w to b, 6A, screw terminal, THD;Phoenix;MPT 0.5/ 2-2.54;RS COMPONENTS S.P.A.;220-4260;
22;5280;;1,00;J2;35RASMT4BHNTRX, 35RASMT4BHNTRX.1;CO;35RASMT4BHNTRX;3A;;;MM;;;PCB connector, jack stereo, 5 contact, female, w to b, 90° nolock, nokey, diam 3.5mm, SMD;Switchcraft;35RASMT4BHNTRX;RS COMPONENTS S.P.A.;705-1490;
23;6115;;1,00;P3;;CO;6339191-1;;;;AM;;;PCB connector, RJ45, 90° with yellow and green leds;TE Connectivity;6339191-1;FARNELL ITALIA S.R.L.;2131151;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Current;Pieces_quoted;Prepared;;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
24;6572;;2,00;PC2 PC1;;COPF;1FS091;;;AM;;;;Plastic cap for MEC button 5G series, Black/Transparent, diameter 9.6mm, large lens;MEC;1FS091;FARNELL ITALIA S.R.L.;2280381;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Current;Pieces_quoted;Prepared;;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
25;565;;1,00;D2;SOD123;DI;SS19L;1A;;;;;;Diode Schottky, Vrrm: 90V, If: 1A, Ifms: 30A, SMD, SOD123;Taiwan semiconductors;SS19L;FARNELL ITALIA S.R.L.;1559161;Taiwan semiconductors;SS19L;RS COMPONENTS S.P.A.;743-6015;
26;5060;;1,00;D3;SOT23;DI;BAT754C;200mA;;;;;;Diode schottky, common cathode, Vrrm: 30V, If: 200mA, Ifms: 600mA, SMD, SOT23;NXP semiconductor;BAT754C;FARNELL ITALIA S.R.L.;1081205;
27;5929;;1,00;D1;DO214AC;DI;SMAJ58CA;40A;;;;;;Diode Transzorb, Vbr: 58V, Pp: 400W, Bidirectional, SMD, DO214AC;Multicomp;SMAJ58CA;FARNELL ITALIA S.R.L.;1579006RL;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Intensity;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
