************************************************************************************************
*                                                                                              *
* CROSS REFERENCE NET LIST REPORT                                                              *
*                                                                                              *
* C:\DOCUMENTS AND SETTINGS\ADMINISTRATOR\DOCUMENTI\LAVORI_ORCAD\CLIENTI_MARCO\BAT_V0\BAT.MAX  *
* Tue Jul 07 12:49:16 2015                                                                     *
*                                                                                              *
************************************************************************************************

REF DES    XCOORD       YCOORD       NET NAMES                                
J12.6       4565.95 m    2747.19 m   GND                                                                                
J12.5       4266.30 m    2448.02 m   GND                                                                                
J12.1       4222.46 m    2709.64 m   V48MOTOR                                                                           
J12.3       4093.49 m    2838.61 m   GND                                                                                
J12.4       4176.93 m    2922.05 m   GND                                                                                
                                                                                                                        
J13.2       4305.48 m    2084.40 m   GND                                                                                
J13.4       4565.46 m    2038.43 m   GND                                                                                
J13.3       4265.81 m    1739.26 m   GND                                                                                
J13.1       4221.97 m    2000.89 m   V48MOTOR                                                                           
                                                                                                                        
J14.2       4182.49 m    1276.49 m   V48MOTOR                                                                           
J14.8       4144.67 m    933.19 m    GND                                                                                
J14.7       4527.63 m    1316.16 m   GND                                                                                
J14.1       4266.00 m    1360.00 m   V48MOTOR                                                                           
J14.4       4137.03 m    1488.97 m   GND                                                                                
J14.5       4053.59 m    1405.54 m   GND                                                                                
J14.3       4098.84 m    1192.84 m   V48MOTOR                                                                           
J14.6       3969.87 m    1321.82 m   GND                                                                                
                                                                                                                        
J15.2       2015.90 m    2540.00 m   V12BOARD                                                                           
J15.6       1864.57 m    2756.33 m   GND                                                                                
J15.5       2288.00 m    2756.00 m   GND                                                                                
J15.1       2134.00 m    2540.00 m   V12BOARD                                                                           
J15.3       2134.00 m    2357.60 m   GND                                                                                
J15.4       2016.00 m    2357.60 m   GND                                                                                
                                                                                                                        
J16.2       4081.90 m    648.00 m    GND                                                                                
J16.4       3930.57 m    431.67 m    GND                                                                                
J16.3       4354.00 m    432.00 m    GND                                                                                
J16.1       4200.00 m    648.00 m    V12BOARD                                                                           
                                                                                                                        
J17.2       2605.90 m    2540.06 m   V12MOTOR                                                                           
J17.6       2454.57 m    2756.40 m   GND                                                                                
J17.5       2878.00 m    2756.06 m   GND                                                                                
J17.1       2724.00 m    2540.06 m   V12MOTOR                                                                           
J17.3       2724.00 m    2357.67 m   GND                                                                                
J17.4       2606.00 m    2357.67 m   GND                                                                                
                                                                                                                        
J18.1       2806.00 m    354.00 m    VBATTERY                                                                           
J18.2       2640.80 m    354.00 m    VBATTERY                                                                           
J18.3       2806.00 m    137.67 m    GND                                                                                
J18.4       2640.80 m    137.67 m    GND                                                                                
J18.5       2991.20 m    155.60 m    << unused >>                                                                       
J18.6       2455.60 m    155.60 m    << unused >>                                                                       
                                                                                                                        
J19.1       2098.00 m    354.00 m    VEXTPS                                                                             
J19.2       1932.80 m    354.00 m    VEXTPS                                                                             
J19.3       2098.00 m    137.67 m    GND                                                                                
J19.4       1932.80 m    137.67 m    GND                                                                                
J19.5       2283.20 m    155.60 m    << unused >>                                                                       
J19.6       1747.60 m    155.60 m    << unused >>                                                                       
                                                                                                                        
L1.1        4280.00 m    703.77 m    N17211568                                                                          
L1.2        4278.04 m    912.23 m    V5                                                                                 
                                                                                                                        
L2.1        4248.00 m    359.77 m    N17212811                                                                          
L2.2        4246.04 m    568.23 m    3V3                                                                                
                                                                                                                        
L3.1        2017.15 m    2072.00 m   N17054778                                                                          
L3.2        2270.85 m    2072.00 m   N17011370                                                                          
                                                                                                                        
L4.1        2489.15 m    2072.00 m   N17056576                                                                          
L4.2        2742.85 m    2072.00 m   N17012134                                                                          
                                                                                                                        
P1.1        3418.00 m    2796.00 m   FAULT_ICUB                                                                         
P1.2        3368.75 m    2796.00 m   FAULT_ICUB                                                                         
P1.4        3268.54 m    2910.07 m   << unused >>                                                                       
P1.3        3518.30 m    2910.07 m   << unused >>                                                                       
                                                                                                                        
P2.1        1252.00 m    2795.63 m   N17245438                                                                          
P2.2        1301.24 m    2795.63 m   N17277064                                                                          
P2.3        1350.50 m    2795.63 m   N17277185                                                                          
P2.4        1399.74 m    2795.63 m   N17277076                                                                          
P2.8        1651.50 m    2910.00 m   << unused >>                                                                       
P2.9        1151.70 m    2909.70 m   << unused >>                                                                       
P2.5        1449.00 m    2795.63 m   N17245813                                                                          
P2.6        1498.24 m    2795.63 m   N17245729                                                                          
P2.7        1547.50 m    2795.63 m   GND                                                                                
                                                                                                                        
P3.1        4204.00 m    2796.00 m   N17055026                                                                          
P3.2        4154.75 m    2796.00 m   << unused >>                                                                       
P3.4        4054.54 m    2910.07 m   << unused >>                                                                       
P3.3        4304.30 m    2910.07 m   << unused >>                                                                       
                                                                                                                        
P4.1        3760.00 m    2795.93 m   V12BOARD                                                                           
P4.2        3809.25 m    2795.93 m   GND                                                                                
P4.4        3909.46 m    2910.00 m   << unused >>                                                                       
P4.3        3659.70 m    2910.00 m   << unused >>                                                                       
                                                                                                                        
P5.1        3810.00 m    2796.00 m   V12BOARD                                                                           
P5.2        3760.75 m    2796.00 m   GND                                                                                
P5.4        3660.54 m    2910.07 m   << unused >>                                                                       
P5.3        3910.30 m    2910.07 m   << unused >>                                                                       
                                                                                                                        
PB1.1       2219.83 m    1607.46 m   GND                                                                                
PB1.2       1728.17 m    1607.46 m   N17192809                                                                          
PB1.3       2219.83 m    1308.54 m   CPU_RED                                                                            
PB1.4       1728.17 m    1308.54 m   CPU                                                                                
                                                                                                                        
PB2.1       3011.83 m    1605.46 m   GND                                                                                
PB2.2       2520.17 m    1605.46 m   N17192798                                                                          
PB2.3       3011.83 m    1306.54 m   MOTORS_RED                                                                         
PB2.4       2520.17 m    1306.54 m   MOTORS                                                                             
                                                                                                                        
Q1.1        3100.50 m    2874.50 m   FAULT_REM                                                                          
Q1.2        3175.50 m    2874.50 m   N17194422                                                                          
Q1.3        3138.00 m    2949.50 m   FAULT_ICUB                                                                         
                                                                                                                        
Q2.1        1914.00 m    1980.00 m   N17009836                                                                          
Q2.3        2114.00 m    1980.00 m   V48MOTOR                                                                           
Q2.2        2014.00 m    2430.00 m   N17009720                                                                          
                                                                                                                        
Q3.1        2384.00 m    1980.00 m   N17009717                                                                          
Q3.3        2584.00 m    1980.00 m   V48MOTOR                                                                           
Q3.2        2484.00 m    2430.00 m   N17009720                                                                          
                                                                                                                        
Q4.1        2853.00 m    1981.00 m   N17009771                                                                          
Q4.3        3053.00 m    1981.00 m   V48MOTOR                                                                           
Q4.2        2953.00 m    2431.00 m   N17009720                                                                          
                                                                                                                        
Q5.1        3320.00 m    1982.00 m   N17009763                                                                          
Q5.3        3520.00 m    1982.00 m   V48MOTOR                                                                           
Q5.2        3420.00 m    2432.00 m   N17009720                                                                          
                                                                                                                        
Q6.1        1511.00 m    1926.00 m   N17055187                                                                          
Q6.3        1511.00 m    2106.00 m   N17054778                                                                          
Q6.2        1801.00 m    2016.00 m   VIN                                                                                
                                                                                                                        
Q7.1        2871.00 m    1910.00 m   N17056424                                                                          
Q7.3        2871.00 m    2090.00 m   N17056576                                                                          
Q7.2        3161.00 m    2000.00 m   VIN                                                                                
                                                                                                                        
Q8.1        3054.00 m    704.00 m    N17410031                                                                          
Q8.3        3054.00 m    904.00 m    VBATTERY                                                                           
Q8.2        2604.00 m    804.00 m    VIN                                                                                
                                                                                                                        
Q9.1        1688.00 m    902.00 m    N17410183                                                                          
Q9.3        1688.00 m    702.00 m    VEXTPS                                                                             
Q9.2        2138.00 m    802.00 m    VIN                                                                                
                                                                                                                        
R1.1        1699.70 m    1472.00 m   DGND                                                                               
R1.2        1660.30 m    1472.00 m   BOOT1                                                                              
                                                                                                                        
R2.1        836.30 m     1384.00 m   DGND                                                                               
R2.2        875.70 m     1384.00 m   BOOT0                                                                              
                                                                                                                        
R3.1        612.30 m     1800.00 m   VCC                                                                                
R3.2        651.70 m     1800.00 m   I2C1_WP                                                                            
                                                                                                                        
R4.1        500.30 m     1832.00 m   VCC                                                                                
R4.2        539.70 m     1832.00 m   I2C1_SCL                                                                           
                                                                                                                        
R5.1        500.30 m     1800.00 m   VCC                                                                                
R5.2        539.70 m     1800.00 m   I2C1_SDA                                                                           
                                                                                                                        
R6.1        1488.00 m    2084.30 m   N17218233                                                                          
R6.2        1488.00 m    2123.70 m   3V3                                                                                
                                                                                                                        
R7.1        1948.30 m    1696.00 m   N17192809                                                                          
R7.2        1987.70 m    1696.00 m   CPU_GREEN                                                                          
                                                                                                                        
R8.1        1456.00 m    2084.30 m   N17218273                                                                          
R8.2        1456.00 m    2123.70 m   3V3                                                                                
                                                                                                                        
R9.1        2403.70 m    1608.00 m   N17192798                                                                          
R9.2        2364.30 m    1608.00 m   MOTORS_GREEN                                                                       
                                                                                                                        
R10.1       1296.00 m    2084.30 m   N17218308                                                                          
R10.2       1296.00 m    2123.70 m   3V3                                                                                
                                                                                                                        
R11.1       1264.00 m    2084.30 m   N17218343                                                                          
R11.2       1264.00 m    2123.70 m   3V3                                                                                
                                                                                                                        
R12.1       1232.00 m    2084.30 m   N17218384                                                                          
R12.2       1232.00 m    2123.70 m   3V3                                                                                
                                                                                                                        
R13.1       2994.30 m    2860.00 m   FAULT_REM                                                                          
R13.2       3033.70 m    2860.00 m   GND                                                                                
                                                                                                                        
R14.1       1142.00 m    521.70 m    3V3                                                                                
R14.2       1142.00 m    482.30 m    N17194422                                                                          
                                                                                                                        
R15.1       552.00 m     827.70 m    3V3                                                                                
R15.2       552.00 m     788.30 m    CAN1_SHDN                                                                          
                                                                                                                        
R16.1       432.00 m     400.60 m    N16984428                                                                          
R16.2       432.00 m     351.40 m    N16984972                                                                          
                                                                                                                        
R17.1       419.70 m     608.00 m    3V3                                                                                
R17.2       380.30 m     608.00 m    N16984931                                                                          
                                                                                                                        
R18.1       480.00 m     356.30 m    N16984972                                                                          
R18.2       480.00 m     395.70 m    N16984422                                                                          
                                                                                                                        
R19.1       352.00 m     827.70 m    N17222479                                                                          
R19.2       352.00 m     788.30 m    GND                                                                                
                                                                                                                        
R20.1       1152.00 m    2299.70 m   3V3                                                                                
R20.2       1152.00 m    2260.30 m   I2C2_SMBAL                                                                         
                                                                                                                        
R21.1       1216.00 m    2296.60 m   N16995618                                                                          
R21.2       1216.00 m    2247.40 m   I2C2_SMBAL                                                                         
                                                                                                                        
R22.1       2194.30 m    1190.00 m   3V3                                                                                
R22.2       2233.70 m    1190.00 m   N17218535                                                                          
                                                                                                                        
R23.1       732.30 m     2248.00 m   BT_PIO3                                                                            
R23.2       771.70 m     2248.00 m   N17003640                                                                          
                                                                                                                        
R24.1       732.30 m     2216.00 m   BT_PIO2                                                                            
R24.2       771.70 m     2216.00 m   N17003672                                                                          
                                                                                                                        
R25.1       732.30 m     2184.00 m   BT_PIO1                                                                            
R25.2       771.70 m     2184.00 m   N17003705                                                                          
                                                                                                                        
R26.1       1212.30 m    2344.00 m   3V3                                                                                
R26.2       1251.70 m    2344.00 m   I2C2_SCL                                                                           
                                                                                                                        
R27.1       1272.60 m    2424.00 m   N16995603                                                                          
R27.2       1223.40 m    2424.00 m   I2C2_SCL                                                                           
                                                                                                                        
R28.1       1172.30 m    2496.00 m   3V3                                                                                
R28.2       1211.70 m    2496.00 m   I2C2_SDA                                                                           
                                                                                                                        
R29.1       1280.60 m    2568.00 m   N16995620                                                                          
R29.2       1231.40 m    2568.00 m   I2C2_SDA                                                                           
                                                                                                                        
R30.1       1412.30 m    2744.00 m   N17277088                                                                          
R30.2       1451.70 m    2744.00 m   N17245813                                                                          
                                                                                                                        
R31.1       1992.60 m    1848.00 m   N17009718                                                                          
R31.2       1943.40 m    1848.00 m   N17009836                                                                          
                                                                                                                        
R32.1       1980.30 m    1120.00 m   N17217412                                                                          
R32.2       2019.70 m    1120.00 m   3V3                                                                                
                                                                                                                        
R33.1       2327.40 m    1848.00 m   N17009718                                                                          
R33.2       2376.60 m    1848.00 m   N17009717                                                                          
                                                                                                                        
R34.1       1980.30 m    1176.00 m   N17217432                                                                          
R34.2       2019.70 m    1176.00 m   3V3                                                                                
                                                                                                                        
R35.1       2775.40 m    1848.00 m   N17009718                                                                          
R35.2       2824.60 m    1848.00 m   N17009771                                                                          
                                                                                                                        
R36.1       3143.40 m    1848.00 m   N17009718                                                                          
R36.2       3192.60 m    1848.00 m   N17009763                                                                          
                                                                                                                        
R37.1       4043.70 m    1672.00 m   VIN                                                                                
R37.2       4004.30 m    1672.00 m   HSM_EN                                                                             
                                                                                                                        
R38.1       3700.30 m    1912.00 m   N17009851                                                                          
R38.2       3739.70 m    1912.00 m   N17009766                                                                          
                                                                                                                        
R39.1       3684.30 m    1648.00 m   N17009765                                                                          
R39.2       3723.70 m    1648.00 m   N17009766                                                                          
                                                                                                                        
R40.1       4043.70 m    1808.00 m   HSM_EN                                                                             
R40.2       4004.30 m    1808.00 m   N17009789                                                                          
                                                                                                                        
R41.1       4004.30 m    1712.00 m   N17009800                                                                          
R41.2       4043.70 m    1712.00 m   N17009796                                                                          
                                                                                                                        
R42.1       3965.00 m    1616.00 m   N17009718                                                                          
R42.2       4035.00 m    1616.00 m   N17009832                                                                          
                                                                                                                        
R43.1       1891.70 m    1232.00 m   N17009729                                                                          
R43.2       1852.30 m    1232.00 m   HSM_CURRENT                                                                        
                                                                                                                        
R44.1       4052.30 m    1872.00 m   N17009789                                                                          
R44.2       4091.70 m    1872.00 m   GND                                                                                
                                                                                                                        
R45.1       4076.30 m    1712.00 m   N17009796                                                                          
R45.2       4115.70 m    1712.00 m   GND                                                                                
                                                                                                                        
R46.1       4275.70 m    960.00 m    V5                                                                                 
R46.2       4236.30 m    960.00 m    N17211584                                                                          
                                                                                                                        
R47.1       3667.70 m    776.00 m    V5_EN                                                                              
R47.2       3628.30 m    776.00 m    GND                                                                                
                                                                                                                        
R48.1       3667.70 m    920.00 m    N17211813                                                                          
R48.2       3628.30 m    920.00 m    GND                                                                                
                                                                                                                        
R49.1       3628.30 m    880.00 m    N17211616                                                                          
R49.2       3667.70 m    880.00 m    N17211584                                                                          
                                                                                                                        
R50.1       4195.70 m    960.00 m    N17211584                                                                          
R50.2       4156.30 m    960.00 m    GND                                                                                
                                                                                                                        
R51.1       2548.30 m    1216.00 m   N17211767                                                                          
R51.2       2587.70 m    1216.00 m   GND                                                                                
                                                                                                                        
R52.1       3548.30 m    368.00 m    VIN                                                                                
R52.2       3587.70 m    368.00 m    N17212795                                                                          
                                                                                                                        
R53.1       4195.70 m    616.00 m    3V3                                                                                
R53.2       4156.30 m    616.00 m    N17212849                                                                          
                                                                                                                        
R54.1       2452.30 m    1080.00 m   GND                                                                                
R54.2       2491.70 m    1080.00 m   N17213111                                                                          
                                                                                                                        
R55.1       3587.70 m    400.00 m    N17212795                                                                          
R55.2       3548.30 m    400.00 m    GND                                                                                
                                                                                                                        
R56.1       3587.70 m    520.00 m    N17212859                                                                          
R56.2       3548.30 m    520.00 m    GND                                                                                
                                                                                                                        
R57.1       3491.70 m    456.00 m    N17212907                                                                          
R57.2       3452.30 m    456.00 m    N17212849                                                                          
                                                                                                                        
R58.1       4123.70 m    616.00 m    N17212849                                                                          
R58.2       4084.30 m    616.00 m    GND                                                                                
                                                                                                                        
R59.1       1676.30 m    1832.00 m   N17054700                                                                          
R59.2       1715.70 m    1832.00 m   N17054688                                                                          
                                                                                                                        
R60.1       1236.30 m    1776.00 m   N17055187                                                                          
R60.2       1275.70 m    1776.00 m   N17054866                                                                          
                                                                                                                        
R61.1       1240.00 m    1660.30 m   N17054752                                                                          
R61.2       1240.00 m    1699.70 m   N17054858                                                                          
                                                                                                                        
R62.1       1795.70 m    1864.00 m   V12BOARD_EN                                                                        
R62.2       1756.30 m    1864.00 m   GND                                                                                
                                                                                                                        
R63.1       1272.00 m    1675.70 m   N17054752                                                                          
R63.2       1272.00 m    1636.30 m   N170550622                                                                         
                                                                                                                        
R64.1       1684.30 m    1736.00 m   N17054680                                                                          
R64.2       1723.70 m    1736.00 m   GND                                                                                
                                                                                                                        
R65.1       1720.00 m    1052.30 m   N17011543                                                                          
R65.2       1720.00 m    1091.70 m   V12BOARD_CURRENT                                                                   
                                                                                                                        
R66.1       1723.70 m    1608.00 m   N17054832                                                                          
R66.2       1684.30 m    1608.00 m   N17054732                                                                          
                                                                                                                        
R67.1       4059.70 m    2752.00 m   N17055026                                                                          
R67.2       4020.30 m    2752.00 m   N17054732                                                                          
                                                                                                                        
R68.1       2891.00 m    1192.00 m   V12BOARD                                                                           
R68.2       2821.00 m    1192.00 m   N17055271                                                                          
                                                                                                                        
R69.1       1332.30 m    648.00 m    V12BOARD                                                                           
R69.2       1371.70 m    648.00 m    N17011449                                                                          
                                                                                                                        
R70.1       1371.70 m    680.00 m    N17011449                                                                          
R70.2       1332.30 m    680.00 m    V12BOARD_VOLTAGE                                                                   
                                                                                                                        
R71.1       3979.70 m    2752.00 m   N17054732                                                                          
R71.2       3940.30 m    2752.00 m   GND                                                                                
                                                                                                                        
R72.1       1371.70 m    616.00 m    N17011449                                                                          
R72.2       1332.30 m    616.00 m    GND                                                                                
                                                                                                                        
R73.1       3171.70 m    1688.00 m   N17056508                                                                          
R73.2       3132.30 m    1688.00 m   N17056496                                                                          
                                                                                                                        
R74.1       3760.00 m    1723.70 m   N17056424                                                                          
R74.2       3760.00 m    1684.30 m   N17056654                                                                          
                                                                                                                        
R75.1       1819.70 m    1336.00 m   N17012233                                                                          
R75.2       1780.30 m    1336.00 m   V12MOTOR_CURRENT                                                                   
                                                                                                                        
R76.1       3283.70 m    1648.00 m   V12MOTOR_EN                                                                        
R76.2       3244.30 m    1648.00 m   GND                                                                                
                                                                                                                        
R77.1       3267.70 m    1736.00 m   N17056488                                                                          
R77.2       3228.30 m    1736.00 m   GND                                                                                
                                                                                                                        
R78.1       3164.30 m    1784.00 m   N17056610                                                                          
R78.2       3203.70 m    1784.00 m   N17056540                                                                          
                                                                                                                        
R79.1       3164.30 m    1848.00 m   V12MOTOR                                                                           
R79.2       3203.70 m    1848.00 m   N17056540                                                                          
                                                                                                                        
R80.1       2891.00 m    1096.00 m   V12MOTOR                                                                           
R80.2       2821.00 m    1096.00 m   N17056406                                                                          
                                                                                                                        
R81.1       1451.70 m    648.00 m    V12MOTOR                                                                           
R81.2       1412.30 m    648.00 m    N17012152                                                                          
                                                                                                                        
R82.1       1412.30 m    680.00 m    N17012152                                                                          
R82.2       1451.70 m    680.00 m    V12MOTOR_VOLTAGE                                                                   
                                                                                                                        
R83.1       3203.70 m    1816.00 m   N17056540                                                                          
R83.2       3164.30 m    1816.00 m   GND                                                                                
                                                                                                                        
R84.1       1412.30 m    616.00 m    N17012152                                                                          
R84.2       1451.70 m    616.00 m    GND                                                                                
                                                                                                                        
R85.1       2420.30 m    384.00 m    VBATTERY                                                                           
R85.2       2459.70 m    384.00 m    BATTERY_VOLTAGE                                                                    
                                                                                                                        
R86.1       2459.70 m    416.00 m    BATTERY_VOLTAGE                                                                    
R86.2       2420.30 m    416.00 m    GND                                                                                
                                                                                                                        
R87.1       3199.40 m    704.00 m    VIN                                                                                
R87.2       3248.60 m    704.00 m    N17410749                                                                          
                                                                                                                        
R88.1       1576.00 m    1074.30 m   VIN                                                                                
R88.2       1576.00 m    1113.70 m   VINPUT_VOLTAGE                                                                     
                                                                                                                        
R89.1       1612.00 m    1113.70 m   VINPUT_VOLTAGE                                                                     
R89.2       1612.00 m    1074.30 m   GND                                                                                
                                                                                                                        
R90.1       2323.70 m    384.00 m    VEXTPS                                                                             
R90.2       2284.30 m    384.00 m    EXTPS_VOLTAGE                                                                      
                                                                                                                        
R91.1       1524.60 m    922.00 m    VIN                                                                                
R91.2       1475.40 m    922.00 m    N17411004                                                                          
                                                                                                                        
R92.1       2284.30 m    416.00 m    EXTPS_VOLTAGE                                                                      
R92.2       2323.70 m    416.00 m    GND                                                                                
                                                                                                                        
R93.1       3940.30 m    2784.00 m   V12BOARD                                                                           
R93.2       3979.70 m    2784.00 m   N17055026                                                                          
                                                                                                                        
R94.1       1163.70 m    2560.00 m   N17245438                                                                          
R94.2       1124.30 m    2560.00 m   N17245552                                                                          
                                                                                                                        
R95.1       1163.70 m    2624.00 m   N17245438                                                                          
R95.2       1124.30 m    2624.00 m   N17245550                                                                          
                                                                                                                        
R96.1       1163.70 m    2688.00 m   N17245438                                                                          
R96.2       1124.30 m    2688.00 m   N17276000                                                                          
                                                                                                                        
R97.1       1163.70 m    2752.00 m   N17245438                                                                          
R97.2       1124.30 m    2752.00 m   N17245546                                                                          
                                                                                                                        
RS1.1       3411.43 m    1846.80 m   N17009720                                                                          
RS1.2       3411.43 m    1705.20 m   VIN                                                                                
RS1.3       3580.57 m    1846.80 m   N17009851                                                                          
RS1.4       3580.57 m    1705.20 m   N17009765                                                                          
                                                                                                                        
RS2.1       1364.57 m    2094.80 m   GND                                                                                
RS2.2       1364.57 m    1953.20 m   N17054887                                                                          
RS2.3       1195.43 m    2094.80 m   N170550622                                                                         
RS2.4       1195.43 m    1953.20 m   N17054858                                                                          
                                                                                                                        
RS3.1       3435.43 m    1945.20 m   GND                                                                                
RS3.2       3435.43 m    2086.80 m   N17056677                                                                          
RS3.3       3604.57 m    1945.20 m   N17056562                                                                          
RS3.4       3604.57 m    2086.80 m   N17056646                                                                          
                                                                                                                        
TP1.1       712.00 m     2096.00 m   PC12                                                                               
                                                                                                                        
TP2.1       1496.00 m    104.00 m    PC13                                                                               
                                                                                                                        
TP3.1       1632.00 m    104.00 m    PC14                                                                               
                                                                                                                        
TP4.1       1560.00 m    224.00 m    PC15                                                                               
                                                                                                                        
TP5.1       168.00 m     1944.00 m   GND                                                                                
                                                                                                                        
TP6.1       4536.00 m    1824.00 m   V5                                                                                 
                                                                                                                        
TP7.1       4632.00 m    1920.00 m   3V3                                                                                
                                                                                                                        
U1.1        1024.00 m    1208.00 m   TRACECLK                                                                           
U1.2        1043.70 m    1208.00 m   TRACED0                                                                            
U1.3        1063.40 m    1208.00 m   TRACED1                                                                            
U1.4        1083.10 m    1208.00 m   TRACED2                                                                            
U1.5        1102.80 m    1208.00 m   TRACED3                                                                            
U1.6        1122.50 m    1208.00 m   VCC                                                                                
U1.7        1142.20 m    1208.00 m   PC13                                                                               
U1.8        1161.90 m    1208.00 m   PC14                                                                               
U1.9        1181.60 m    1208.00 m   PC15                                                                               
U1.10       1201.30 m    1208.00 m   DGND                                                                               
U1.11       1221.00 m    1208.00 m   VCC                                                                                
U1.12       1240.70 m    1208.00 m   OSC                                                                                
U1.13       1260.40 m    1208.00 m   << unused >>                                                                       
U1.14       1280.10 m    1208.00 m   ~RESET                                                                             
U1.15       1299.80 m    1208.00 m   BATTERY_VOLTAGE                                                                    
U1.16       1319.50 m    1208.00 m   V12BOARD_VOLTAGE                                                                   
U1.17       1339.20 m    1208.00 m   V12MOTOR_VOLTAGE                                                                   
U1.18       1358.90 m    1208.00 m   V12BOARD_CURRENT                                                                   
U1.19       1378.60 m    1208.00 m   VCC                                                                                
U1.20       1398.30 m    1208.00 m   GND                                                                                
U1.21       1418.00 m    1208.00 m   3V3                                                                                
U1.22       1437.70 m    1208.00 m   3V3                                                                                
U1.23       1457.40 m    1208.00 m   VINPUT_VOLTAGE                                                                     
U1.24       1477.10 m    1208.00 m   EXTPS_VOLTAGE                                                                      
U1.25       1496.80 m    1208.00 m   V48MOTOR_PG                                                                        
U1.26       1564.80 m    1276.00 m   V48MOTOR_FLT                                                                       
U1.27       1564.80 m    1295.70 m   DGND                                                                               
U1.28       1564.80 m    1315.40 m   VCC                                                                                
U1.29       1564.80 m    1335.10 m   SPI1_NSEL                                                                          
U1.30       1564.80 m    1354.80 m   SPI1_SCLK                                                                          
U1.31       1564.80 m    1374.50 m   SPI1_MISO                                                                          
U1.32       1564.80 m    1394.20 m   SPI1_MOSI                                                                          
U1.33       1564.80 m    1413.90 m   V12MOTOR_CURRENT                                                                   
U1.34       1564.80 m    1433.60 m   HSM_CURRENT                                                                        
U1.35       1564.80 m    1453.30 m   GPIO1                                                                              
U1.36       1564.80 m    1473.00 m   GPIO2                                                                              
U1.37       1564.80 m    1492.70 m   BOOT1                                                                              
U1.38       1564.80 m    1512.40 m   CPU                                                                                
U1.39       1564.80 m    1532.10 m   CPU_GREEN                                                                          
U1.40       1564.80 m    1551.80 m   CPU_RED                                                                            
U1.41       1564.80 m    1571.50 m   MOTORS                                                                             
U1.42       1564.80 m    1591.20 m   MOTORS_GREEN                                                                       
U1.43       1564.80 m    1610.90 m   MOTORS_RED                                                                         
U1.44       1564.80 m    1630.60 m   HSM_NFLT                                                                           
U1.45       1564.80 m    1650.30 m   HSM_NPG                                                                            
U1.46       1564.80 m    1670.00 m   << unused >>                                                                       
U1.47       1564.80 m    1689.70 m   I2C2_SCL                                                                           
U1.48       1564.80 m    1709.40 m   I2C2_SDA                                                                           
U1.49       1564.80 m    1729.10 m   N17360230                                                                          
U1.50       1564.80 m    1748.80 m   VCC                                                                                
U1.51       1496.80 m    1816.80 m   I2C2_SMBAL                                                                         
U1.52       1477.10 m    1816.80 m   LED_BT                                                                             
U1.53       1457.40 m    1816.80 m   CAN1_LED                                                                           
U1.54       1437.70 m    1816.80 m   << unused >>                                                                       
U1.55       1418.00 m    1816.80 m   HSM_EN                                                                             
U1.56       1398.30 m    1816.80 m   V12BOARD_EN                                                                        
U1.57       1378.60 m    1816.80 m   V12MOTOR_EN                                                                        
U1.58       1358.90 m    1816.80 m   LED0_BATTERY                                                                       
U1.59       1339.20 m    1816.80 m   LED1_BATTERY                                                                       
U1.60       1319.50 m    1816.80 m   LED2_BATTERY                                                                       
U1.61       1299.80 m    1816.80 m   LED3_BATTERY                                                                       
U1.62       1280.10 m    1816.80 m   LED4_BATTERY                                                                       
U1.63       1260.40 m    1816.80 m   FAULT_ICUB                                                                         
U1.64       1240.70 m    1816.80 m   FAULT_REM                                                                          
U1.65       1221.00 m    1816.80 m   FAULT_GPIO                                                                         
U1.66       1201.30 m    1816.80 m   JACK                                                                               
U1.67       1181.60 m    1816.80 m   RST_DSPL                                                                           
U1.68       1161.90 m    1816.80 m   TX_DSPL                                                                            
U1.69       1142.20 m    1816.80 m   RX_DSPL                                                                            
U1.70       1122.50 m    1816.80 m   << unused >>                                                                       
U1.71       1102.80 m    1816.80 m   I2C1_WP                                                                            
U1.72       1083.10 m    1816.80 m   TMS                                                                                
U1.73       1063.40 m    1816.80 m   N17360226                                                                          
U1.74       1043.70 m    1816.80 m   DGND                                                                               
U1.75       1024.00 m    1816.80 m   VCC                                                                                
U1.76       956.00 m     1748.80 m   TCK                                                                                
U1.77       956.00 m     1729.10 m   TDI                                                                                
U1.78       956.00 m     1709.40 m   << unused >>                                                                       
U1.79       956.00 m     1689.70 m   << unused >>                                                                       
U1.80       956.00 m     1670.00 m   PC12                                                                               
U1.81       956.00 m     1650.30 m   BT_MLDP                                                                            
U1.82       956.00 m     1630.60 m   BT_HW_WAKE                                                                         
U1.83       956.00 m     1610.90 m   BT_SW_WAKE                                                                         
U1.84       956.00 m     1591.20 m   BT_CTS                                                                             
U1.85       956.00 m     1571.50 m   BT_RTS                                                                             
U1.86       956.00 m     1551.80 m   BT_TX                                                                              
U1.87       956.00 m     1532.10 m   BT_RX                                                                              
U1.88       956.00 m     1512.40 m   V5_EN                                                                              
U1.89       956.00 m     1492.70 m   TDO                                                                                
U1.90       956.00 m     1473.00 m   << unused >>                                                                       
U1.91       956.00 m     1453.30 m   CAN1_SHDN                                                                          
U1.92       956.00 m     1433.60 m   I2C1_SCL                                                                           
U1.93       956.00 m     1413.90 m   I2C1_SDA                                                                           
U1.94       956.00 m     1394.20 m   BOOT0                                                                              
U1.95       956.00 m     1374.50 m   CAN1_RX                                                                            
U1.96       956.00 m     1354.80 m   CAN1_TX                                                                            
U1.97       956.00 m     1335.10 m   << unused >>                                                                       
