************************************************************************************************
*                                                                                              *
* INSERTION LIST REPORT                                                                        *
*                                                                                              *
* C:\DOCUMENTS AND SETTINGS\ADMINISTRATOR\DOCUMENTI\LAVORI_ORCAD\CLIENTI_MARCO\BAT_V0\BAT.MAX  *
* Tue Jul 07 12:49:09 2015                                                                     *
*                                                                                              *
************************************************************************************************

REF DES    VALUE            FOOTPRINT                      XCOORD       YCOORD       ROTATION BOARDSIDE    
-----------------------------------------------------------------------------------------------------------
305                         FORO 3.2 MM                     892.52 m     2021.56 m   0        TOP                       
C70        100NF            0603                            1232.00 m    1816.00 m   180      BOTTOM                    
C71        470UF            CE SMD DIAM 10_LOGEL            1936.00 m    1582.00 m   180      BOTTOM                    
C72        220UF            CE SMD DIAM 10_LOGEL            2366.00 m    1582.00 m   180      BOTTOM                    
C73        47UF             7343                            1952.00 m    1208.00 m   0        BOTTOM                    
C74        1UF              0805                            1848.00 m    1064.00 m   180      BOTTOM                    
C75        100NF            0603                            1992.00 m    1064.00 m   0        BOTTOM                    
C76        47NF             0402                            2392.00 m    2488.00 m   90       BOTTOM                    
C77        100NF            0402                            1776.00 m    1832.00 m   0        BOTTOM                    
C78        47NF             0402                            1760.00 m    1800.00 m   0        BOTTOM                    
C79        680PF            0402                            1704.00 m    1768.00 m   180      BOTTOM                    
C80        47PF             0402                            1704.00 m    1672.00 m   180      BOTTOM                    
C81        47NF             0402                            1328.00 m    1600.00 m   90       BOTTOM                    
C82        47PF             0402                            1704.00 m    1640.00 m   180      BOTTOM                    
C83        100NF            0402                            1688.00 m    1072.00 m   270      TOP                       
C84        100NF            0402                            1352.00 m    712.00 m    0        TOP                       
C85        100NF            0402                            1408.00 m    536.00 m    0        BOTTOM                    
C86        1UF              0402                            3152.00 m    1648.00 m   0        BOTTOM                    
C87        100NF            0603                            3704.00 m    1704.00 m   90       BOTTOM                    
C88        100NF            0805                            3488.00 m    1592.00 m   180      BOTTOM                    
C89        470UF            CE SMD DIAM 10_LOGEL            2810.00 m    1582.00 m   180      BOTTOM                    
C90        47UF             7343                            2816.00 m    1200.00 m   0        BOTTOM                    
C91        1UF              0805                            2720.00 m    1048.00 m   0        BOTTOM                    
C92        100NF            0603                            2872.00 m    1048.00 m   0        BOTTOM                    
C93        47NF             0402                            2912.00 m    2552.00 m   270      BOTTOM                    
C94        100NF            0402                            3152.00 m    1608.00 m   0        BOTTOM                    
C95        1UF              0402                            3264.00 m    1688.00 m   0        BOTTOM                    
C96        680PF            0402                            3152.00 m    1736.00 m   180      BOTTOM                    
C97        47NF             0402                            3496.00 m    1872.00 m   0        BOTTOM                    
C98        100NF            0402                            1800.00 m    1368.00 m   180      BOTTOM                    
C99        100PF            0402                            3256.00 m    1784.00 m   0        BOTTOM                    
C100       47PF             0402                            3256.00 m    1816.00 m   0        BOTTOM                    
C101       100NF            0402                            1432.00 m    712.00 m    180      TOP                       
C102       100NF            0805                            2440.00 m    288.00 m    0        TOP                       
C103       100NF            0402                            1440.00 m    976.00 m    180      BOTTOM                    
C104       100NF            0805                            3324.00 m    944.00 m    180      TOP                       
C105       100NF            0402                            1652.00 m    1094.00 m   270      TOP                       
C106       100NF            0805                            2304.00 m    288.00 m    180      TOP                       
C107       100NF            0402                            1528.00 m    1344.00 m   180      BOTTOM                    
C108       100NF            0805                            1358.00 m    810.00 m    270      TOP                       
C109       220UF            CE SMD DIAM 12.5_LOGEL          3520.00 m    1360.00 m   90       TOP                       
C110       100NF            0805                            3896.00 m    1152.00 m   0        TOP                       
C111       100PF            0402                            1144.00 m    2592.00 m   0        TOP                       
C112       100PF            0402                            1144.00 m    2656.00 m   0        TOP                       
C113       100PF            0402                            1144.00 m    2720.00 m   0        TOP                       
C114       100PF            0402                            1144.00 m    2784.00 m   0        TOP                       
D1         SMAJ58CA         DIODE DO214AC/SMA_LOGEL         3149.00 m    1104.00 m   0        TOP                       
D2         MMSZ4702T1G      SOD123                          3185.87 m    1630.13 m   90       TOP                       
D3         MBRS3100T3G      DIODE DO214AB/SMC_LOGEL         1924.50 m    2760.00 m   0        TOP                       
D4         SS19L            SOD123                          4120.00 m    712.00 m    270      BOTTOM                    
D5         SS19L            SOD123                          4073.87 m    350.13 m    270      BOTTOM                    
D6         MBRB20H100CT     TO263_NEW                       1580.50 m    2388.00 m   0        BOTTOM                    
D7         MBRB20H100CT     TO263_NEW                       3243.50 m    2452.00 m   180      BOTTOM                    
D8         SMAJ58CA         DIODE DO214AC/SMA_LOGEL         2956.00 m    399.00 m    270      TOP                       
D9         SMAJ58CA         DIODE DO214AC/SMA_LOGEL         1789.00 m    396.00 m    270      TOP                       
DL1        RED              LED0603                         1466.00 m    2006.00 m   270      TOP                       
DL2        GREEN            LED0603                         1408.00 m    2006.00 m   270      TOP                       
DL3        GREEN            LED0603                         1350.00 m    2006.00 m   270      TOP                       
DL4        GREEN            LED0603                         1292.00 m    2006.00 m   270      TOP                       
DL5        GREEN            LED0603                         1234.00 m    2006.00 m   270      TOP                       
DL6        ORANGE           LED0603                         400.00 m     560.00 m    0        TOP                       
DL7        BLUE             LED 3MM_LOGEL                   2368.00 m    1182.00 m   0        TOP                       
DL8        BLUE             LED0603                         864.00 m     2296.00 m   0        TOP                       
DL9        RED              LED0603                         864.00 m     2240.00 m   0        TOP                       
DL10       GREEN            LED0603                         864.00 m     2184.00 m   0        TOP                       
DL11       GREEN            LED0603                         1880.00 m    1120.00 m   180      TOP                       
DL12       RED              LED0603                         1880.00 m    1184.00 m   180      TOP                       
DL13       RED              LED0603                         2584.00 m    1168.00 m   180      TOP                       
