3233 2FOC_5, Brushelss motor controller        
2FOC_5	Revision: D

Istituto Italiano di Tecnologia
via Morego, 30
16163 - Genova

Bill Of Materials        January 12,2011

Itm 	Qty 	Ref                            	Value                     	IIT_Code   	Device                    	Package         	
59  	1   	U18                            	LMC7101                   	       579 	                          	SOT23-5         	
60  	2   	U19,U20                        	LMV7219M5                 	       710 	                          	SOT23-5         	
61  	2   	U15,U36                        	LP5900SD-3.3              	       554 	LP5900DS33                	LP5900SD33      	
62  	1   	U16                            	LT1616ES6                 	       237 	                          	SOT23-6         	
63  	2   	U4,U5                          	MAX3051                   	       241 	                          	SOT23-8         	
64  	1   	M1                             	MKDS1/2-3.81              	       274 	                          	MKDS12-381      	
65  	2   	M2,M3                          	MKDS1/3-3.81              	       275 	                          	MKDS13-381      	
66  	1   	5                              	NODE2                     	        NM 	CC2                       	CC2             	
67  	2   	DL7,DL9                        	SML-511DWT86R HB ORA      	      1653 	                          	LED0603         	
68  	2   	DL6,DL8                        	SML-512MWT86R HB GRN      	      1654 	                          	LED0603         	
69  	3   	D3,D4,D5                       	SS19L                     	       565 	SCHOTTKY                  	SOD-123         	
70  	3   	TP5,TP6,TP7                    	TEST-POINT                	        NM 	TPSMD_1206                	TPSMD-1206      	
71  	2   	FL1,FL2                        	WE-SL1-330UH              	       545 	                          	WE-SL1          	
    	--- 	                               	                          	           	                          	                	
    	349 	                               	                          	           	                          	                	

