P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Current;Impedence;Pieces_quoted;Prepared;Description;Manuf;Manuf Code;Supplier;Supplier Code
1;288;;1,00;J2;53261-0471;CO;53261-0471;1A;;;;PCB connector, Picoblade, 4 contacts, 1 row, male, p.1.25mm, 90°, w to b, lock, key, SMD;Molex;53261-0471;RS COMPONENTS S.P.A.;542-7113;Molex;53261-0471;FARNELL ITALIA S.R.L.;1125374;
2;719;;1,00;J1;MKDS14-381;CO;MKDS 1/4-3.81;10A;;;;Terminal block, MKDS, 4 contacts, 1 row, female, p.3.81mm, Straight,  w to b, 10A, screw terminal, THD;Phoenix;1727036;RS COMPONENTS S.P.A.;220-4361;Phoenix;1727036;FARNELL ITALIA S.R.L.;3704592;
3;2980;;1,00;J3;53261-0271;CO;53261-0271;1A;;;;PCB connector, Picoblade, 2 contacts, 1 row, male, p.1.25mm, 90°, w to b, lock, key, SMD;Molex;53261-0271;FARNELL ITALIA S.R.L.;1125373;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;;;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
4;6188;;2,00;F1 F2;-;FAST;SMTRAM25-6-5ET;;;;;PEM Surface Mount Right Angle Fastener - Type SMTRA;Penn Engineering;SMTRAM25-6-5ET;;;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Ranges;Tolerance;Pieces_quoted;Prepared;Description;Manuf;Manuf Code;Supplier;Supplier Code
5;6118.1;;1,00;PCB;;PCB;BBA_1;;;;BM;BBA, IIT - Printed Circuit Board, Backpack Battery Adapter for cabling backpack battery;IIT;6118;EUROCIRCUITS bvba;6118;
