P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Supply_voltage;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
70;1581;;4;R21 R34 R49 R61;402;R;3K3;0.063W;1%;250ppm;;;;Resistor Thick film, 3K3, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-073K3L;FARNELL ITALIA S.R.L.;9239294;;;;;;;;;;;;;;
71;1698;;1;R83;402;R;1K3;0.063W;1%;100ppm;;;;Resistor Thick film, 1K3, 0.063W, 1%, SMD, 0402;Vishay;CRCW04021K30FKED;DIGI-KEY CORPORATION;541-1.30KLDKR-ND;;;;;;;;;;;;;;
72;1704;;1;R79;402;R;12K;0.063W;1%;200ppm;;;;Resistor Thick film, 12K, 0.063W, 1%, SMD, 0402;Vishay;CRCW040212K0FKED;DIGI-KEY CORPORATION;541-12.0KLDKR-ND;Vishay;CRCW040212K0FKED;FARNELL ITALIA S.R.L.;2140866RL;;;;;;;;;;
73;3174;;2;R3 R4;402;R;330K;0.063W;1%;100ppm;;;;Resistor Thick film, 330K, 0.063W, 1%, SMD, 0402;Multicomp;MC 0.0625W 0402 1% 330K;FARNELL ITALIA S.R.L.;1358109RL;;;;;;;;;;;;;;
74;3468;;1;R85;603;R;5K6;0.063W;1%;100ppm;;;;Resistor Thick film, 5K6, 0.063W, 1%, SMD, 0603;Multicomp;MC 0.063W 0603 1% 5K6;FARNELL ITALIA S.R.L.;9331352;Multicomp;MC 0.063W 0603 1% 5K6;FARNELL ITALIA S.R.L.;9331352RL;;;;;;;;;;
75;3578;;2;R80 R87;603;R;18K;0.063W;1%;100ppm;;;;Resistor Thick film, 18K, 0.063W, 1%, SMD, 0603;Multicomp;MC 0.063W 0603 1% 18K;FARNELL ITALIA S.R.L.;9330720;Multicomp;MC 0.063W 0603 1% 18K;FARNELL ITALIA S.R.L.;9330720RL;;;;;;;;;;
76;4001;;4;R35 R38 R62 R65;402;R;100K;0.063W;1%;250ppm;;;;Resistor Thick film, 100K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-07100KL;FARNELL ITALIA S.R.L.;9239472RL;;;;;;;;;;;;;;
77;5453;;4;R22 R29 R50 R56;1206-KELVIN, 1206-KELVING;R;50mR;0.5W;0.5%;50ppm;;;;Resistor Thick film, 50mR, 0.5W, 0.5%, SMD, 1206 KELVIN;Ohmite;LVK12R050DER;FARNELL ITALIA S.R.L.;1462296RL;Vishay;WSK1206R0500FEA18;DIGI-KEY Germany;541-2753-1-ND;;;;;;;;;;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Supply_voltage;Pieces_quoted;Prepared;;;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
78;1008;;2;U9 U10;HTSSOP16;RG;LM5575MH;6V/75V;;;;;;Voltage regulator, switching, step-down, Vin 6/75V, Vout 1.225V, 1.5A, SMD, HTSSOP16;National Semiconductor;LM5575MH;FARNELL ITALIA S.R.L.;1325420;;;;;;;;;;;;;;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Inductance;Turns_ratio;SFR;Current;Pieces_quoted;Prepared;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
79;5110;;1;U17;H1270NL;TS;H1270NL;2/200MHz;;;;;M.M;Transformer LAN, 10/100 base-tx dual port, 2/200MHz, p.1.27mm, SMD;Pulse;H1270NL;MOUSER ELECTRONICS;673-H1270NL;Pulse;H1270FNL;MOUSER ELECTRONICS;673-H1270FNL;;;;;;;;;;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Current;Impedence;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
80;3581;X;9;TP1 TP2 TP3 TP4 TP5 TP6 TP7 TP8 TP9;SMOXM, TP-SMOXML;CO;SMOX/060/B1 GOLD;3A;;;;;;Test point SMOX, male, SMD, 1.5x1.5mm H=2mm;Oxley;SMOX/060/B1 GOLD;FARNELL ITALIA S.R.L.;1573280;;;;;;;;;;;;;;
81;4875;X;8;1 2 3 4 5 6 7 8;NODEK;CO;;;;;;;;PCB equipotential node, 3 terminal;;;;;;;;;;;;;;;;;;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;;;;;;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
82;4268;X;3;H1 H2 H3;MH25;FAST;M2.5 Metallized hole;;;;;;;PCB hole, metallized, for M2.5 thread;;;;;;;;;;;;;;;;;;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Tolerance;Current;Voltage;Pieces_quoted;Prepared;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
83;1118;X;1;FL8;402;FI;600R @100MHz;+/-25%;300mA;-;;;;Ferrite bead, 300mA, 600R @100MHz, SMD, 0402;Murata;BLM15AG601SN1D;FARNELL ITALIA S.R.L.;1515762;;;;;;;;;;;;;;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Ranges;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
84;5456.1;X;1;PCB1;;PCB;MC4-PLUS_01;;;0;M.M;;;MC4-PLUS - Printed circuit board, controller and power driver for 4 DC motors with Cortex-M4;IIT;5456;ALTEC ELETTRONICA S.n.c.;Prototipi;;;;;;;;;;;;;;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Resistance;Power;Tolerance;Stability;Voltage;Prepared;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
85;1080;X;11;R100 R101 R106 R107 R111 R113 R114 R115 R116 R117 R118;402;R;0R;0.063W;1%;200ppm;;;;Resistor Thick film, 0R, 0.063W, 1%, SMD, 0402;Yageo;RC0402JR-070RL;FARNELL ITALIA S.R.L.;9232516;Yageo;RC0402JR-070RL;DIGI-KEY CORPORATION;311-0.0JRDKR-ND;;;;;;;;;;
86;1107;X;8;R30 R37 R40 R41 R60 R64 R66 R67;402;R;4K7;0.063W;1%;100ppm;;;;Resistor Thick film, 4K7, 0.063W, 1%, SMD, 0402;Vishay;CRCW04024K70FKED;FARNELL ITALIA S.R.L.;1469712RL;;;;;;;;;;;;;;
87;1114;X;1;R84;402;R;68K;0.063W;1%;250ppm;;;;Resistor Thick film, 68K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-0768K;FARNELL ITALIA S.R.L.;9239456RL;;;;;;;;;;;;;;
88;1704;X;1;R86;402;R;12K;0.063W;1%;200ppm;;;;Resistor Thick film, 12K, 0.063W, 1%, SMD, 0402;Vishay;CRCW040212K0FKED;DIGI-KEY CORPORATION;541-12.0KLDKR-ND;Vishay;CRCW040212K0FKED;FARNELL ITALIA S.R.L.;2140866RL;;;;;;;;;;
