P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Supply_voltage;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
12;1237;;4;C46 C47 C68 C69;402;C;1nF;50V;10%;X7R;;;;Multilayer Ceramic Capacitor, 1nF, 50V, 10%, X7R, SMD, 0402;Kemet;C0402C102K5RACTU;FARNELL ITALIA S.R.L.;1414573;Kemet;C0402C102K5RACTU;MOUSER ELECTRONICS;80-C0402C102K5R;Kemet;C0402C102K5RACTU;RS COMPONENTS S.P.A.;147-566;;;;;;
13;1271;;5;C26 C33 C48 C59 C39;402;C;10pF;50V;5%;X7R;;;;Multilayer Ceramic Capacitor, 10pF, 50V, 5%, X7R, SMD, 0402;Kemet;04025A100DAT2A;FARNELL ITALIA S.R.L.;1327626;Kemet;04025A100DAT2A;RS COMPONENTS S.P.A.;698-3065;Kemet;04025A100DAT2A;MOUSER ELECTRONICS;581-04025A100DAT2A;;;;;;
14;1485;;4;C30 C35 C53 C54;7343;C;47uF;35V;10%;Tantalum;200mR;;125C;Tantalum Capacitor, 47uF, 35V, 10%, SMD, 7343, h.4.1mm;Avx;TPSE476K035R0200;RS COMPONENTS S.P.A.;548-0170;Avx;TPSE476K035R0200;FARNELL ITALIA S.R.L.;1135125;Avx;TPSE476K035R0200;MOUSER ELECTRONICS;581-TPSE476K035R0200;;;;;;
15;1681;;2;C112 C113;402;C;100nF;25V;10%;Y5V;;;;Multilayer Ceramic Capacitor, 100nF, 25V, 10%, Y5V, SMD, 0402;Murata;GRM155F51E104ZA01D;DIGI-KEY CORPORATION;490-3271-6-ND;Murata;GRM155F51E104ZA01D;MOUSER ELECTRONICS;81-GRM155F51E104ZA01;Murata;GRM155F51E104ZA01D;RS COMPONENTS S.P.A.;723-5174;TDK;C1005Y5V1E104Z;FARNELL ITALIA S.R.L.;1907264;;
16;1682;;11;C29 C34 C38 C40 C42 C51 C52 C60 C61 C63 C64;402;C;100pF;50V;10%;C0G;;;;Multilayer Ceramic Capacitor, 100pF, 50V, 10%, C0G, SMD, 0402;Murata;GRM1555C1H101JZ01D;DIGI-KEY CORPORATION;490-3458-6-ND;Murata;GRM1555C1H101JZ01D;MOUSER ELECTRONICS;81-GRM1555C1H101JZ1D;Murata;GRM1555C1H101JZ01D;FARNELL ITALIA S.R.L.;8819572;;;;;;
17;1684;;1;C76;402;C;330pF;50V;10%;X7R;;;;Multilayer Ceramic Capacitor, 330pF, 50V, 10%, X7R, SMD, 0402;TDK;C1005X7R1H331K;DIGI-KEY CORPORATION;445-4910-6-ND;TDK;C1005X7R1H331K;RS COMPONENTS S.P.A.;111-062;TDK;C1005X7R1H331K;FARNELL ITALIA S.R.L.;1844140;TDK;C1005X7R1H331K;MOUSER ELECTRONICS;810-C1005X7R1H331K;;
18;4036;;2;C6 C7;805;C;2.2uF;6.3V;10%;X5R;;;;Multilayer Ceramic Capacitor, 2.2uF, 6.3V, 10%, X5R, SMD, 0805;Multicomp;MCCA000533;FARNELL ITALIA S.R.L.;1759411RL;;;;;;;;;;;;;;
19;5107;;2;C36 C58;805;C;220nF;100V;10%;X7R;;;;Multilayer Ceramic Capacitor, 220nF,100V, 10%, X7R, SMD, 0805;Kemet;C0805X224K3RACTU;FARNELL ITALIA S.R.L.;1793829RL;Kemet;C0805X224K3RACTU;MOUSER ELECTRONICS;80-C0805C224K1R;Taiyo Yuden;HMK212B7224KG-T;RS COMPONENTS S.P.A.;758-0143;;;;;;
20;5108;;2;C37 C55;603;C;10nF;100V;10%;X7R;;;;Multilayer Ceramic Capacitor, 10nF, 100V, 10%, X7R, SMD, 0603;AVX;06031C103K4Z2A;FARNELL ITALIA S.R.L.;1301715;AVX;06031C103K4Z2A;FARNELL ITALIA S.R.L.;1301715;AVX;06031C103K4Z2A;MOUSER ELECTRONICS;581-06031C103K4Z2A;AVX;06031C103K4Z2A;FARNELL ITALIA S.R.L.;1301715;;
21;5109;;4;C31 C32 C56 C57;603;C;100nF;100V;10%;X7R;;;;Multilayer Ceramic Capacitor, 100nF, 100V, 10%, X7R, SMD, 0603;Murata;GRM188R72A104KA35D;FARNELL ITALIA S.R.L.;1828921RL;Murata;GRM188R72A104KA35D;MOUSER ELECTRONICS;81-GRM188R72A104KA35;;;;;;;;;;
