P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Supply_voltage;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
1;1006;;1,00;U9;QFN16, SN74LVC139ARGYR;AS;SN74LVC139ARGYR;+-1.65/+-3.6V;;;;;;Decoder/demultiplexer, 2x 2:4 channels, from +-1.65 to +-3.6V single power supply, SMD, QFN16;Texas Instruments;SN74LVC139ARGYR;DIGI-KEY CORPORATION;296-13964-6-ND;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Capacitance;Voltage;Tolerance;Dielectric;ESR;Rated RMS current;Temp;Description;Manuf;Manuf Code;Supplier;Supplier Code
2;1035;;41,00;C75 C74 C73 C1 C2 C7 C8 C9 C10 C11 C13 C17 C18 C20 C21 C22 C23 C25 C27 C28 C29 C30 C32 C33 C34 C38 C42 C43 C44 C45 C46 C47 C48 C49 C50 C51 C52 C76 C77 C78 C84;0402;C;100nF;16V;10%;X7R;;;;Multilayer Ceramic Capacitor, 100nF, 16V, 10%, X7R, SMD, 0402;Yageo;C0402KRX7R7BB104;FARNELL ITALIA S.R.L.;9402047;Yageo;C0402KRX7R7BB104;RS COMPONENTS S.P.A.;616-9701;Kemet;C0402C104K4RAC-TU;FARNELL ITALIA S.R.L.;1650809;Kemet;C0402C104K4RAC-TU;MOUSER ELECTRONICS;80-C0402C104K4R;
3;1036;;8,00;C36 C40 C86 C87 C88 C89 C90 C91;0402;C;100pF;50V;5%;C0G;;;;Multilayer Ceramic Capacitor, 100pF, 50V, 5%, C0G, SMD, 0402;Yageo;CC0402JRNPO9BN101;FARNELL ITALIA S.R.L.;3019226;Yageo;CC0402JRNPO9BN101;RS COMPONENTS S.P.A.;435-1497;Yageo;CC0402JRNPO9BN101;MOUSER ELECTRONICS;603-CC402JRNPO9BN101;
4;1037;;4,00;C35 C37 C39 C41;0402;C;220pF;50V;5%;C0G;;;;Multilayer Ceramic Capacitor, 220pF, 50V, 5%, C0G, SMD, 0402;Yageo;CC0402JRNPO9BN221;FARNELL ITALIA S.R.L.;3019240;Yageo;CC0402JRNPO9BN221;RS COMPONENTS S.P.A.;616-9284;Yageo;CC0402JRNPO9BN221;MOUSER ELECTRONICS;603-CC402JRNPO9BN221;
5;1038;;1,00;C58;0402;C;330pF;50V;5%;C0G;;;;Multilayer Ceramic Capacitor, 330pF, 50V, 5%, C0G, SMD, 0402;Avx;04025A331JAT2A;FARNELL ITALIA S.R.L.;1657925;Avx;04025A331JAT2A;RS COMPONENTS S.P.A.;698-3093;Avx;04025A331JAT2A;MOUSER ELECTRONICS;581-04025A331JAT2A;
6;1039;;1,00;C68;0402;C;470pF;50V;5%;C0G;;;;Multilayer Ceramic Capacitor, 470pF, 50V, 5%, C0G, SMD, 0402;Avx;04025A471JAT2A;FARNELL ITALIA S.R.L.;1657927;Avx;04025A471JAT2A;RS COMPONENTS S.P.A.;698-3119;Avx;04025A471JAT2A;MOUSER ELECTRONICS;581-04025A471JAT2A;
7;1040;;6,00;C53 C57 C60 C63 C67 C70;0402;C;22nF;50V;10%;X7R;;;;Multilayer Ceramic Capacitor, 22nF, 50V, 10%, X7R, SMD, 0402;Kemet;C0402C223K5RACTU;FARNELL ITALIA S.R.L.;1414583;Kemet;C0402C223K5RACTU;MOUSER ELECTRONICS;80-C0402C223K5R;Murata;GRM155R71H223KA12D;RS COMPONENTS S.P.A.;723-5297;
8;1041;;3,00;C61 C71 C80;0603;C;470nF;16V;10%;X7R;;;;Multilayer Ceramic Capacitor, 470nF, 16V, 10%, X7R, SMD, 0603;Kemet;C0603C474K4RACTU;FARNELL ITALIA S.R.L.;1414644;Kemet;C0603C474K4RACTU;FARNELL ITALIA S.R.L.;1414644RL;Kemet;C0603C474K4RACTU;MOUSER ELECTRONICS;80-C0603C474K4R;Murata;GRM188R71C474KA88D;RS COMPONENTS S.P.A.;723-5626;
9;1075;;1,00;C79;0402;C;10nF;50V;10%;X7R;;;;Multilayer Ceramic Capacitor, 10nF, 50V, 10%, X7R, SMD, 0402;Kemet;C0402C103K5RAC-TU;FARNELL ITALIA S.R.L.;1650808;Kemet;C0402C103K5RAC-TU;FARNELL ITALIA S.R.L.;1414575RL;Kemet;C0402C103K5RAC-TU;MOUSER ELECTRONICS;80-C0402C103K5R;Kemet;C0402C103K5RAC7867;RS COMPONENTS S.P.A.;147-752;
10;1076;;7,00;C6 C12 C19 C24 C26 C31 C85;0805;C;10uF;6.3V;10%;X5R;;;;Multilayer Ceramic Capacitor, 10uF, 6.3V, 10%, X5R, SMD, 0805;Kemet;C0805C106K9PAC;FARNELL ITALIA S.R.L.;9227814RL;Kemet;C0805C106K9PAC;RS COMPONENTS S.P.A.;451-6290;Kemet;C0805C106K9PAC;MOUSER ELECTRONICS;80-C0805C106K9P;
11;1077;;2,00;C15 C16;1206;C;1nF;2kV;10%;X7R;;;;Multilayer Ceramic Capacitor, 1nF, 2kV, 10%, X7R, SMD, 1206;Avx;1206GC102KAT2A;FARNELL ITALIA S.R.L.;1216467;Avx;1206GC102KAT2A;RS COMPONENTS S.P.A.;391-309;Avx;1206GC102KAT2A;MOUSER ELECTRONICS;581-1206GC102K;
12;1078;;4,00;C54 C55 C64 C65;1210;C;1uF;100V;10%;X7R;;;;Multilayer Ceramic Capacitor, 1uF, 100V, 10%, X7R, SMD, 1210;Avx;12101C105KAT2A;FARNELL ITALIA S.R.L.;1301814;Avx;12101C105KAT2A;RS COMPONENTS S.P.A.;698-3740;Avx;12101C105KAT2A;MOUSER ELECTRONICS;581-12101C105KAT2A;
13;1079;;2,00;C56 C66;1210;C;100uF;6.3V;20%;X5R;;;;Multilayer Ceramic Capacitor, 100uF, 6.3V, 10%, X5R, SMD, 1210;Kemet;C1210C107M9PAC7800;FARNELL ITALIA S.R.L.;1108328;Kemet;C1210C107M9PAC7800;RS COMPONENTS S.P.A.;691-1243;Kemet;C1210C107M9PAC7800;MOUSER ELECTRONICS;80-C1210C107M9P;
14;4036;;2,00;C81 C82;0805;C;2.2uF;6.3V;10%;X5R;;;;Multilayer Ceramic Capacitor, 2.2uF, 6.3V, 10%, X5R, SMD, 0805;Multicomp;MCCA000533;FARNELL ITALIA S.R.L.;1759411RL;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Current;Impedence;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
15;504;;2,00;TP6 TP7;TP-1206;CO;S1751-46;;;;;;;Test point, SMD, 1206;Harwin;S1751-46;FARNELL ITALIA S.R.L.;1022338;
16;630;;2,00;P2 P3;53261-0571;CO;53261-0571;1A;;;;;;PCB connector, Picoblade, 5 contacts, 1 row, male, 1.25mm,  90°, w to b, nolock, key, SMD;Molex;53261-0571;FARNELL ITALIA S.R.L.;1125360;Molex;53261-0571;RS COMPONENTS S.P.A.;542-7270;
17;631;;6,00;P6 P7 P8 P9 P10 P11;53261-0771;CO;53261-0771;1A;;;;;;PCB connector, Picoblade, 7 contacts, 1 row, male, 1.25mm,  90°, w to b, nolock, key, SMD;Molex;53261-0771;FARNELL ITALIA S.R.L.;1125361;
18;1072;;1,00;P13;53261-1071;CO;53261-1071;1A;;;;;;PCB connector, Picoblade, 10 contacts, 1 row, male, p.1.25mm, 90°, w to b, nolock, nokey, SMD;Molex;53261-1071;RS COMPONENTS S.P.A.;542-7179;
19;1124;;2,00;P4 P5;53261-0671;CO;53261-0671;1A;;;;;;PCB connector, Picoblade, 6 contacts, 1 row, male, p.1.25mm,  90°, w to b, nolock, key, SMD;Molex;53261-0671;FARNELL ITALIA S.R.L.;1125375;
20;1126;;1,00;P1;501591-3011;CO;501591-3011;1A;;;;;;PCB connector, Slimstack 30 contacts, 2 rows, male, p.0.4mm, Straight, b to b, lock, nokey, SMD;Molex;501591-3011;DIGI-KEY CORPORATION;501591-3011-ND;Molex;501591-3011;DIGI-KEY CORPORATION;WM24042-ND;
21;3171;;1,00;P12;43650-0313;CO;43650-0313;5A;;;;;;PCB connector, Microfit, 3 contacts, 1 row, male, p.3mm, 90°, w to b, lock, key, SMD;Molex;43650-0313;DIGI-KEY CORPORATION;WM1896-ND;Molex;43650-0313;FARNELL ITALIA S.R.L.;1847276;Molex;43650-0313;MOUSER ELECTRONICS;538-43650-0313;
22;4870;;2,00;JP1 JP2;JP0402, JP0603, JP0805, JP1210;CO;;;;;;;;Solderable PCB jumper, two pads, normally open;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Current;Pieces_quoted;Prepared;;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
23;1031;;3,00;D1 D2 D3;DO214AC;DI;10MQ100N;2.1A;;;;;;Diode schottky, Vrrm: 100V, If: 2.1A, Ifms: 120A, SMD, DO214AC;International rectifier;10MQ100N;FARNELL ITALIA S.R.L.;8656916;
24;1032;;1,00;D4;DO214AC;DI;SMAJ70CA;40A;;;;;;Diode Transzorb, Vbr: 70V, Pp: 400W, Bidirectional, SMD, DO214AC;St microelectronics;SMAJ70CA;FARNELL ITALIA S.R.L.;1749362;
25;1033;;6,00;DZ3 DZ4 DZ5 DZ6 DZ7 DZ8;SOT23-6;DI;DVIULC6-4SC6;0.5uA;;;;;;Diode ESD protection, Vbr: 6V, Vpp: 1.5kV, Irm: 0.5uA, SMD, SOT23-6;St microelectronics;DVIULC6-4SC6;FARNELL ITALIA S.R.L.;1751961;St microelectronics;DVIULC6-4SC6;RS COMPONENTS S.P.A.;624-7637;
26;5325;;1,00;D5;SOD882D;DI;BAS16LD;215mA;;;;;;Diode high speed switching, Vrrm: 100V, If: 215mA, Ifms: 4A, SMD, SOD882D;NXP;BAS16LD;MOUSER ELECTRONICS;771-BAS16LD315;NXP;BAS16LD;FARNELL ITALIA S.R.L.;1859907;NXP;BAS16LD;DIGI-KEY Germany;568-5294-1-ND;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Intensity;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
