P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Current;Impedence;Pieces_quoted;Prepared;Description;Manuf;Manuf Code;Supplier;Supplier Code
1;13883;;2,00;J31 J32;FX10A-168P-SV;CO;FX10A-168P-SV(93);;;;;PCB connector, FX10, 168 contacts, 2 rows, header, p. 0.5 mm, Straight, b to b, lock, key, SMD;Hirose;FX10A-168P-SV(93);FARNELL ITALIA S.R.L.;2498741;
2;15386;;2,00;J31A J32A;FX10A-168S-SV;CO;FX10A-168S-SV(21);;;;;PCB connector, FX10, 168 contacts, 2 rows, receptacle p. 0.5 mm, Straight, b to b, SMD;Hirose;FX10A-168S-SV(21);FARNELL ITALIA S.R.L.;2498900;
