Part Lister output for UZCB
Generated on Wednesday, December 02, 2020
 |#    |QTY  |Part Number      |Description                                |Value |Ref Designator  |
 | 29  | 2   |FBEAD-0603-120RX |Ferrite bead, 3A, 120R @100MHz, SMD, 0603  |120R  |FL17,FL18       |
 |     |     |100MHZ-3A        |                                           |@100M |                |
 |     |     |                 |                                           |Hz    |                |
 | 30  | 6   |CM-CHOKE-1012-80 |Common mode choke, 80R, 100mA, 12.5Vdc,    |80R@1 |FL19-FL24       |
 |     |     |R-0A1-12VDC      | SMD, 1.25x1.0x0.3mm                       |00MHz |                |
 | 31  | 2   |CM-CHOKE-0805-18 |Common mode choke, 180R, 300mA, 50Vdc,     |180R@ |FL25,FL26       |
 |     |     |0R-0A3-50VDC     | SMD, 2x1.2mm                              |100MH |                |
 |     |     |                 |                                           |z     |                |
 | 32  | 4   |NMH3_2           |                                           |      |H1-H4           |
 | 33  | 4   |NMH2_6           |                                           |      |H5-H8           |
 | 34  | 1   |MOLEX-MICROSDPP- |PCB connector, Micro SD Push-push,         |50339 |J1              |
 |     |     |8X1-FEM90-P110   | 8 contacts, 1 row, female, p.1.1mm, 90°, |8-189 |                |
 |     |     |                 | w to b, lock, key                         |2     |                |
 | 35  | 6   |IPEX-CABLINE-30X |PCB connector, I-PEX 30 contacts,          |20525 |J2,J3,J13-J16   |
 |     |     |1-FEMSTR-P40     | Receptacles, 1 rows, p.0.4mm, Straight,   |-030E |                |
 |     |     |                 | w to b, lock, nokey, SMD                  |-02C  |                |
 | 36  | 6   |PICOLOCK-4X1-MAL |PCB connector, Pico-Lock, 4 contacts,      |50405 |J4-J9           |
 |     |     |E90-P150         | 1 row, male, p.1.5mm, 90°, w to b, lock, |0-049 |                |
 |     |     |                 | key, SMD                                  |1     |                |
 | 37  | 2   |PICOLOCK-6X1-MAL |PCB connector, Pico-Lock, 6 contacts,      |50405 |J10,J11         |
 |     |     |E90-P150         | 1 row, male, p.1.5mm, 90°, w to b, lock, |0-069 |                |
 |     |     |                 | key, SMD                                  |1     |                |
